q,PN_order,frac_pade_better,mean_taylor_minus_pade,median_taylor_minus_pade,p90_abs_difference
0.25,0PN,0.52,0.07225009677150958,0.0740074007400735,0.9050505050505048
0.25,1PN,0.6775,0.11406396744158132,0.36083608360836106,0.9764176417641769
0.25,2PN,0.4425,-0.41944316861639774,-0.12481248124812439,1.8798679867986796
0.3,0PN,0.595,0.1937107926460855,0.33323332333233324,0.9313731373137313
0.3,1PN,0.765,0.33317284883252135,0.5112917532312302,0.8119211921192121
0.3,2PN,0.4975,-0.15628279700888328,0.04480448044804497,1.248764876487649
0.35,0PN,0.6675,0.3161132591702345,0.5193463719415901,1.0332875669161554
0.35,1PN,0.8475,0.5348314175371611,0.6154000542750295,0.8750274265699265
0.35,2PN,0.5425,0.02518243241267701,0.18121812181218105,0.8748955996229754
0.4,0PN,0.735,0.4553909029499682,0.651032002569975,1.1181118111811181
0.4,1PN,0.9125,0.674056694411522,0.7112711271127112,0.9525752575257525
0.4,2PN,0.585,0.1498044711724329,0.28322832283228394,0.8340034003400341
0.45,0PN,0.805,0.5802940659509936,0.7465611939327313,1.1849637259400279
0.45,1PN,0.925,0.7701715308186458,0.7831665163774004,1.0121148600799457
0.45,2PN,0.6275,0.24162782263409688,0.3583643210641473,0.8473944322032406
0.5,0PN,0.8625,0.6837129554278626,0.8313337113862457,1.2353235323532354
0.5,1PN,0.92,0.8375877164473897,0.8538952551425392,1.0577057705770576
0.5,2PN,0.665,0.3120520151936531,0.42575339192575967,0.8681078716859263
0.55,0PN,0.92,0.7676151841405828,0.8876887688768877,1.2738873887388742
0.55,1PN,0.915,0.8872458273500939,0.9067077640501577,1.0968337615564785
0.55,2PN,0.7,0.3671550957880563,0.4756475647564756,0.898889888988899
0.6,0PN,0.95,0.8344972077793347,0.9398835635100076,1.3092509250925088
0.6,1PN,0.91,0.9234519662227987,0.9468946894689473,1.1294729472947291
0.6,2PN,0.7225,0.4105171262552722,0.5132513251325133,0.9262254676524362
