method,q,PN_order,chi_eff_bin,chi_eff_mean,median_abs_delta_a,mean_abs_delta_a,p25_abs_delta_a,p75_abs_delta_a,n
Padé,0.3,1PN,"(-0.533, -0.4]",-0.46435116130406984,2.2525907772338494,2.3403972231991426,1.7542160508513491,2.884907833558106,38
Padé,0.3,1PN,"(-0.4, -0.267]",-0.33360323886639676,1.3431608974208782,1.424510275629005,1.0108563678914115,1.7682387620299442,42
Padé,0.3,1PN,"(-0.267, -0.133]",-0.20080971659919028,0.7505038059931177,0.7875416658432223,0.5220691672196607,1.0075375770948884,40
Padé,0.3,1PN,"(-0.133, 0.0]",-0.06801619433198385,0.34565603426190505,0.38114061280635575,0.21557045070822772,0.5232361074971121,42
Padé,0.3,1PN,"(0.0, 0.133]",0.06801619433198375,0.10765026593223001,0.1456063988773774,0.050220686716710476,0.2153426832872871,42
Padé,0.3,1PN,"(0.133, 0.267]",0.20080971659919017,0.0809265849798801,0.08590707319110306,0.0362728636808109,0.1186498237290767,40
Padé,0.3,1PN,"(0.267, 0.4]",0.3336032388663967,0.16558541653790934,0.15910666949489832,0.11175947737945896,0.2070443021611054,42
Padé,0.3,1PN,"(0.4, 0.533]",0.4643511613040698,0.2410422140512096,0.2478820930528744,0.1999000724988405,0.2885305303893216,38
Padé,0.3,1PN,"(0.533, 0.667]",0.5934599813142323,0.2819767016526167,0.2863067879247887,0.2607057850565635,0.3127838520876711,26
Padé,0.3,1PN,"(0.667, 0.8]",0.7238866396761133,0.3451086483692576,0.3451086483692576,0.32720562283472726,0.36301167390378786,12
Padé,0.3,2PN,"(-0.801, -0.667]",-0.7238866396761133,4.077282796744592,3.9662983858937686,3.686845084192883,4.2566260716564,12
Padé,0.3,2PN,"(-0.667, -0.533]",-0.5934599813142324,3.240932551948088,3.2513826617990538,2.9290232706594344,3.6082879238876258,26
Padé,0.3,2PN,"(-0.533, -0.4]",-0.46435116130406984,2.6018257007261996,2.660955594825779,2.2922698562318877,3.014920834858236,38
Padé,0.3,2PN,"(-0.4, -0.267]",-0.33360323886639676,1.9183530101073845,1.9762606887655565,1.7117783603598125,2.221684106564397,42
Padé,0.3,2PN,"(-0.267, -0.133]",-0.20080971659919028,1.3819749727094277,1.4195648681634543,1.233090604275208,1.5919960229394734,40
Padé,0.3,2PN,"(-0.133, 0.0]",-0.06801619433198385,0.9579039873985125,0.9818673521469565,0.8260067762178084,1.1121957399384599,42
Padé,0.3,2PN,"(0.0, 0.133]",0.06801619433198375,0.5966865582107201,0.6059743967515698,0.47351866727100067,0.7209698890180629,42
Padé,0.3,2PN,"(0.133, 0.267]",0.20080971659919017,0.25590953293725693,0.25834410518462714,0.15017009666468945,0.35529487924283126,40
Padé,0.3,2PN,"(0.267, 0.4]",0.3336032388663967,0.11167028904209039,0.12966687573657532,0.055677441954299974,0.18364400792756763,42
Padé,0.3,2PN,"(0.4, 0.533]",0.4643511613040698,0.37769917233646333,0.3730735595679471,0.29099405106297577,0.45486300100272153,38
Padé,0.3,2PN,"(0.533, 0.667]",0.5934599813142323,0.5389513517103746,0.5322682261738768,0.48287245553957,0.5853279270471381,26
Padé,0.3,2PN,"(0.667, 0.8]",0.7238866396761133,0.6443385713615566,0.6443385713615566,0.629235825855029,0.6594413168680842,12
Padé,0.35,0PN,"(-0.801, -0.667]",-0.7196881091617934,5.897446077925745,5.823215130305702,5.50737416179295,6.214111555876924,12
