method,q,PN_order,chi_eff_bin,chi_eff_mean,median_abs_delta_a,mean_abs_delta_a,p25_abs_delta_a,p75_abs_delta_a,n
Padé,0.5,1PN,"(-0.4, -0.267]",-0.33093259464450603,0.4567595288627488,0.47324076644473534,0.34329390969868145,0.6034148088342335,38
Padé,0.5,1PN,"(-0.267, -0.133]",-0.208187134502924,0.22720786098645002,0.25092913638831776,0.13727458788507346,0.35172880970949916,48
Padé,0.5,1PN,"(-0.133, 0.0]",-0.07017543859649127,0.08012800141592685,0.09432310099305838,0.04026261748995383,0.13473679928939664,50
Padé,0.5,1PN,"(0.0, 0.133]",0.07017543859649118,0.10459569162551524,0.10371108988396648,0.05098392997520058,0.15262715689998246,50
Padé,0.5,1PN,"(0.133, 0.267]",0.20818713450292392,0.2001237075164872,0.19621768607078247,0.15678630752633213,0.2410493469473876,48
Padé,0.5,1PN,"(0.267, 0.4]",0.330932594644506,0.27437538376012016,0.27425813258215326,0.23475537994878326,0.31201495059567824,38
Padé,0.5,1PN,"(0.4, 0.533]",0.4590299277605778,0.319194861558572,0.32448624070265775,0.29036539165821984,0.3581433250895044,34
Padé,0.5,1PN,"(0.533, 0.667]",0.5968253968253967,0.3708127940254238,0.37481101276457296,0.35954471728283455,0.38607908950716213,21
Padé,0.5,1PN,"(0.667, 0.8]",0.7282651072124756,,,,,9
Padé,0.5,2PN,"(-0.801, -0.667]",-0.7282651072124756,2.1991264868906306,2.1957588271686186,2.142263649717791,2.261346327450226,9
Padé,0.5,2PN,"(-0.667, -0.533]",-0.5968253968253968,1.858395396142522,1.8640627752795307,1.797670349659004,1.9673501984887405,21
Padé,0.5,2PN,"(-0.533, -0.4]",-0.45902992776057794,1.5395831754844314,1.5407620611522042,1.4424748304823525,1.6396429142200621,34
Padé,0.5,2PN,"(-0.4, -0.267]",-0.33093259464450603,1.2480310940042783,1.2626881322339456,1.1740735375599245,1.3682821653639352,38
Padé,0.5,2PN,"(-0.267, -0.133]",-0.208187134502924,0.9696728036994975,0.9771350903170438,0.8785897601365874,1.0646118701405662,48
Padé,0.5,2PN,"(-0.133, 0.0]",-0.07017543859649127,0.652400924130444,0.6594685893986635,0.5671803767557534,0.7516408968134967,50
Padé,0.5,2PN,"(0.0, 0.133]",0.07017543859649118,0.3460733107045044,0.34743058641338165,0.2625372850699986,0.4299626112080739,50
Padé,0.5,2PN,"(0.133, 0.267]",0.20818713450292392,0.0864654096662873,0.09974540187866814,0.04033272563405295,0.14414128934918552,48
Padé,0.5,2PN,"(0.267, 0.4]",0.330932594644506,0.240000334277004,0.23675964589137904,0.16966521775531793,0.30904503614067913,38
Padé,0.5,2PN,"(0.4, 0.533]",0.4590299277605778,0.4454458493785973,0.43438294465876764,0.385581566904822,0.4947582310893825,34
Padé,0.5,2PN,"(0.533, 0.667]",0.5968253968253967,0.5648321959656177,0.5650300346667629,0.5565372189036707,0.57332501172871,21
Padé,0.5,2PN,"(0.667, 0.8]",0.7282651072124756,,,,,9
Padé,0.55,0PN,"(-0.801, -0.667]",-0.7266553480475382,3.4688958280018904,3.470131981695292,3.34728162638248,3.611327997591065,9
Padé,0.55,0PN,"(-0.667, -0.533]",-0.5958573853989814,2.7788669181482293,2.790929474143034,2.625635232070742,2.984869792918275,20
Padé,0.55,0PN,"(-0.533, -0.4]",-0.4636836628511967,2.204215593542799,2.2095460510675107,1.9853435526507486,2.413723220630331,31
Padé,0.55,0PN,"(-0.4, -0.267]",-0.3303096450804431,1.7263149626658327,1.7353134393744096,1.50721256487195,1.9780018591922923,42
Padé,0.55,0PN,"(-0.267, -0.133]",-0.19966044142614606,1.2656194310244806,1.2892644403794802,1.0534711148033042,1.510636594763442,49
Padé,0.55,0PN,"(-0.133, 0.0]",-0.06655348047538205,0.8429683347442429,0.8622425694358056,0.6673186839479235,1.0457013545504528,49
Padé,0.55,0PN,"(0.0, 0.133]",0.06655348047538194,0.4873339849182225,0.5003027006332059,0.3395114176816181,0.6515707725331819,49
Padé,0.55,0PN,"(0.133, 0.267]",0.19966044142614595,0.2051264442481954,0.2262795064348784,0.09381987093083,0.337079241652058,49
Padé,0.55,0PN,"(0.267, 0.4]",0.33030964508044297,0.10364821608521499,0.107510520386671,0.04862313548338557,0.1587178699587259,42
Padé,0.55,0PN,"(0.4, 0.533]",0.4636836628511966,0.1761078304272567,0.16978469209985467,0.10130473822915605,0.2376696751104945,31
Padé,0.55,0PN,"(0.533, 0.667]",0.5958573853989813,0.32157280794601334,0.3239306282794856,0.286936522226912,0.3718050832521191,20
Padé,0.55,0PN,"(0.667, 0.8]",0.7266553480475382,0.4741712687119608,0.4706502712395932,0.4450661319039879,0.4987515634287072,9
Padé,0.55,1PN,"(-0.801, -0.667]",-0.7266553480475382,1.275076446063696,1.2748902352984304,1.202267124932335,1.3543022950208083,9
Padé,0.55,1PN,"(-0.667, -0.533]",-0.5958573853989814,0.8772684787959208,0.8873791191075304,0.7998526538129169,0.9938706930082839,20
Padé,0.55,1PN,"(-0.533, -0.4]",-0.4636836628511967,0.5792530972931735,0.5880935832400831,0.4779928175772412,0.6811499633045983,31
Padé,0.55,1PN,"(-0.4, -0.267]",-0.3303096450804431,0.3553778689564622,0.3659955552050401,0.26435759544550586,0.47145120412678526,42
Padé,0.55,1PN,"(-0.267, -0.133]",-0.19966044142614606,0.1607089399753758,0.1800268314990974,0.0798997536872949,0.2633118622901946,49
Padé,0.55,1PN,"(-0.133, 0.0]",-0.06655348047538205,0.0690130481526871,0.0789617500140287,0.0354652481308965,0.1068978113349157,49
Padé,0.55,1PN,"(0.0, 0.133]",0.06655348047538194,0.1199267411543849,0.11898233575841333,0.0629006746115328,0.1685393873988898,49
Padé,0.55,1PN,"(0.133, 0.267]",0.19966044142614595,0.2093149998962191,0.20889562974963913,0.1685713234044477,0.2520769551261277,49
Padé,0.55,1PN,"(0.267, 0.4]",0.33030964508044297,0.27933719597413353,0.28188304846242873,0.2462909353780281,0.31711253989052657,42
Padé,0.55,1PN,"(0.4, 0.533]",0.4636836628511966,0.33817773544156715,0.3400017377739289,0.3040895685293132,0.36419927212072273,31
Padé,0.55,1PN,"(0.533, 0.667]",0.5958573853989813,0.40350916251461144,0.40350916251461144,0.39317698036754123,0.4138413446616816,20
Padé,0.55,1PN,"(0.667, 0.8]",0.7266553480475382,,,,,9
Padé,0.55,2PN,"(-0.801, -0.667]",-0.7266553480475382,2.050376952329604,2.0619911676138845,1.9911044211097604,2.1103779025815648,9
Padé,0.55,2PN,"(-0.667, -0.533]",-0.5958573853989814,1.754410066663969,1.7535857397695966,1.6690402435468517,1.8180338413485542,20
Padé,0.55,2PN,"(-0.533, -0.4]",-0.4636836628511967,1.4711690596982052,1.4597420384081805,1.3864982475697882,1.5320920441061237,31
Padé,0.55,2PN,"(-0.4, -0.267]",-0.3303096450804431,1.1760021235104867,1.1797912204858538,1.0964007304849974,1.2599137963644589,42
Padé,0.55,2PN,"(-0.267, -0.133]",-0.19966044142614606,0.9007829473761162,0.90483416061681,0.8119729610080269,0.9977507271345942,49
Padé,0.55,2PN,"(-0.133, 0.0]",-0.06655348047538205,0.6137262584810066,0.6141687824652717,0.5281969980054715,0.69733048213602,49
Padé,0.55,2PN,"(0.0, 0.133]",0.06655348047538194,0.3246861497351965,0.32108477884102654,0.2323006966095109,0.399894433539004,49
Padé,0.55,2PN,"(0.133, 0.267]",0.19966044142614595,0.0919361866892378,0.09895837837851243,0.0405787669593933,0.1429271062336461,49
Padé,0.55,2PN,"(0.267, 0.4]",0.33030964508044297,0.24580128630650128,0.24563180429039239,0.173486993913134,0.31771774784548024,42
Padé,0.55,2PN,"(0.4, 0.533]",0.4636836628511966,0.4627615396810518,0.4505127888790394,0.4070811570708624,0.5056488800134137,31
Padé,0.55,2PN,"(0.533, 0.667]",0.5958573853989813,0.583927204318792,0.583927204318792,0.573795042173722,0.5940593664638619,20
Padé,0.55,2PN,"(0.667, 0.8]",0.7266553480475382,,,,,9
Padé,0.6,0PN,"(-0.801, -0.667]",-0.7251461988304093,3.197001247207929,3.217059209520457,3.0722234970551496,3.333497198998563,9
Padé,0.6,0PN,"(-0.667, -0.533]",-0.5931578947368421,2.592576870331543,2.5624009217756787,2.384799494957916,2.7314100280590288,20
Padé,0.6,0PN,"(-0.533, -0.4]",-0.46105263157894744,2.046076359211524,2.0456687413538126,1.8686187879824163,2.2129220047668134,30
Padé,0.6,0PN,"(-0.4, -0.267]",-0.3307894736842106,1.5748243817758487,1.581812030559666,1.4053710102578731,1.7671539090042734,40
Padé,0.6,0PN,"(-0.267, -0.133]",-0.19896800825593397,1.1850459913011502,1.2001745618279802,0.9931277514483707,1.39456968491872,51
Padé,0.6,0PN,"(-0.133, 0.0]",-0.06315789473684215,0.7766166001440931,0.7892210800988665,0.6132116574117782,0.9482661803960705,52
Padé,0.6,0PN,"(0.0, 0.133]",0.0684210526315789,0.4526272483770297,0.4656497845133116,0.3183103182054125,0.602338087204432,48
Padé,0.6,0PN,"(0.133, 0.267]",0.19896800825593391,0.1876148535369641,0.20411458602107926,0.07974089838569326,0.3046571261177171,51
Padé,0.6,0PN,"(0.267, 0.4]",0.33247753530166874,0.0840171334009571,0.09353154872108446,0.0442623628522627,0.1340265599047101,41
Padé,0.6,0PN,"(0.4, 0.533]",0.463157894736842,0.1833905024295559,0.17508414505311826,0.1246483861168608,0.2365129163028263,29
Padé,0.6,0PN,"(0.533, 0.667]",0.593157894736842,0.3289038529966699,0.31957982935547113,0.2742554761021321,0.3640810377703587,20
Padé,0.6,0PN,"(0.667, 0.8]",0.7251461988304093,0.469381230916825,0.4721672050749743,0.4422997856153245,0.4965605101202861,9
Padé,0.6,1PN,"(-0.801, -0.667]",-0.7251461988304093,1.092790826165825,1.1117820151343514,1.0208183565410978,1.1756814174204049,9
Padé,0.6,1PN,"(-0.667, -0.533]",-0.5931578947368421,0.7639517496712691,0.753179999683469,0.6604270577141917,0.8338202690831312,20
Padé,0.6,1PN,"(-0.533, -0.4]",-0.46105263157894744,0.4931210636819712,0.49578041918826266,0.41247317342095996,0.5717578883551723,30
Padé,0.6,1PN,"(-0.4, -0.267]",-0.3307894736842106,0.2822951288505564,0.28728257761437137,0.2078270945723869,0.36241343495686884,40
Padé,0.6,1PN,"(-0.267, -0.133]",-0.19896800825593397,0.1217396606680862,0.13641935141388867,0.0526110485474444,0.2044506730175295,51
Padé,0.6,1PN,"(-0.133, 0.0]",-0.06315789473684215,0.0710409098857698,0.07295464179902805,0.031235023429739227,0.10607197160130488,52
Padé,0.6,1PN,"(0.0, 0.133]",0.0684210526315789,0.14183219756756446,0.1359419319112306,0.09053119972426067,0.18477689661046584,48
Padé,0.6,1PN,"(0.133, 0.267]",0.19896800825593391,0.2228261905674462,0.22323376405521253,0.18699203879877463,0.2609577304891628,51
Padé,0.6,1PN,"(0.267, 0.4]",0.33247753530166874,0.2848217495377669,0.2897255776976657,0.2582735609541302,0.3168404157291897,41
Padé,0.6,1PN,"(0.4, 0.533]",0.463157894736842,0.3545833984084745,0.3547697933122358,0.325733869370207,0.3785095612846532,29
Padé,0.6,1PN,"(0.533, 0.667]",0.593157894736842,0.3749290942321459,0.3749290942321459,0.3749290942321459,0.3749290942321459,20
Padé,0.6,1PN,"(0.667, 0.8]",0.7251461988304093,,,,,9
Padé,0.6,2PN,"(-0.801, -0.667]",-0.7251461988304093,1.9376753146146704,1.9665341570152062,1.8761038850939529,2.0085647057492384,9
Padé,0.6,2PN,"(-0.667, -0.533]",-0.5931578947368421,1.675917769561107,1.6672314048239834,1.6079408445868375,1.7377402039410537,20
Padé,0.6,2PN,"(-0.533, -0.4]",-0.4610526315789473,1.38494035499085,1.3925367614891593,1.313488822375867,1.4597089983247362,30
Padé,0.6,2PN,"(-0.4, -0.267]",-0.3307894736842106,1.1269727019696805,1.1193257819348035,1.05294588295195,1.1882143269978536,40
Padé,0.6,2PN,"(-0.267, -0.133]",-0.19896800825593397,0.8557234976900991,0.8629957459071725,0.7898332800808263,0.943818395616792,51
Padé,0.6,2PN,"(-0.133, 0.0]",-0.06315789473684215,0.5685544995675811,0.5722916948526497,0.5006048405566873,0.6467040862934812,52
Padé,0.6,2PN,"(0.0, 0.133]",0.0684210526315789,0.29350544463575695,0.2932658794561392,0.23469767708393385,0.36067900388714347,48
Padé,0.6,2PN,"(0.133, 0.267]",0.19896800825593391,0.0774655117260354,0.09124009031802267,0.0412438636422323,0.13019929400682811,51
Padé,0.6,2PN,"(0.267, 0.4]",0.33247753530166874,0.2666669038518789,0.25828828762719525,0.2061678379536129,0.3308432352229125,41
Padé,0.6,2PN,"(0.4, 0.533]",0.463157894736842,0.4638823095092004,0.4643045563123453,0.426813020348133,0.5041983599046236,29
Padé,0.6,2PN,"(0.533, 0.667]",0.593157894736842,0.5429458959123141,0.5429458959123141,0.5429458959123141,0.5429458959123141,20
Padé,0.6,2PN,"(0.667, 0.8]",0.7251461988304093,,,,,9
Taylor,0.25,0PN,"(-0.801, -0.667]",-0.7234449760765552,6.281056402594006,6.283610964085136,6.2778848537378025,6.289755550213203,11
Taylor,0.25,0PN,"(-0.667, -0.533]",-0.6015037593984963,6.293060443727631,6.201447363800559,6.286466899310193,6.301729001886288,28
Taylor,0.25,0PN,"(-0.533, -0.4]",-0.4715789473684212,5.6413594310790245,5.262636870205288,4.191553714802679,6.310386978778108,40
Taylor,0.25,0PN,"(-0.4, -0.267]",-0.33684210526315794,3.1952687771634842,3.43976988606934,2.5848428378353403,4.164450042386487,40
Taylor,0.25,0PN,"(-0.267, -0.133]",-0.2021052631578948,2.163670559674761,2.2445550790431312,1.857200476750652,2.5832655202546113,40
Taylor,0.25,0PN,"(-0.133, 0.0]",-0.06736842105263162,1.6306461916770447,1.6667883451628918,1.4517939299922684,1.8683351158494093,40
Taylor,0.25,0PN,"(0.0, 0.133]",0.06736842105263154,1.3142729095415602,1.3321089990999433,1.1923720870493564,1.4613271564928805,40
Taylor,0.25,0PN,"(0.133, 0.267]",0.20210526315789465,1.1108258584073378,1.1223341954725505,1.0250006816107542,1.2093349333721661,40
Taylor,0.25,0PN,"(0.267, 0.4]",0.33684210526315783,0.9789580241764857,0.9868749950208395,0.9187792026762396,1.0452950055198007,40
Taylor,0.25,0PN,"(0.4, 0.533]",0.471578947368421,0.8970797680868048,0.9010255411265817,0.8585434870629671,0.9329406851258346,40
Taylor,0.25,0PN,"(0.533, 0.667]",0.6015037593984963,0.8622893176894455,0.8650922706062332,0.8453965180562485,0.880222987874089,28
Taylor,0.25,0PN,"(0.667, 0.8]",0.7234449760765552,0.8427026688419783,0.8401661315608265,0.8342015385698982,0.8457028675505385,11
Taylor,0.25,1PN,"(-0.801, -0.667]",-0.7234449760765552,6.276284070029298,5.703189285553646,4.840006608548471,6.278882497364164,11
Taylor,0.25,1PN,"(-0.667, -0.533]",-0.6015037593984963,3.828542836926033,3.990397687404348,3.075018475229747,5.094425319650744,28
Taylor,0.25,1PN,"(-0.533, -0.4]",-0.4715789473684211,2.505045799715888,2.725803186836951,2.0415387133025296,3.2438113324664224,40
Taylor,0.25,1PN,"(-0.4, -0.267]",-0.33684210526315794,1.7087201222979984,1.7692228313638694,1.4673310866602232,2.0412377211543644,40
Taylor,0.25,1PN,"(-0.267, -0.133]",-0.2021052631578948,1.2759817907978732,1.3022808516203892,1.1199267493779144,1.4741546091635025,40
Taylor,0.25,1PN,"(-0.133, 0.0]",-0.0673684210526316,1.0035709955472474,1.020283694697845,0.9035089335346854,1.1350617885166763,40
Taylor,0.25,1PN,"(0.0, 0.133]",0.06736842105263154,0.8310245847090769,0.8401598041804513,0.7587287227129221,0.916272651042336,40
Taylor,0.25,1PN,"(0.133, 0.267]",0.20210526315789465,0.7199867744989468,0.725854547507754,0.6694615477738675,0.7772917290517336,40
Taylor,0.25,1PN,"(0.267, 0.4]",0.33684210526315783,0.6516968617996644,0.6553418417055078,0.620630216694247,0.6883938563229622,40
Taylor,0.25,1PN,"(0.4, 0.533]",0.471578947368421,0.6187515852723735,0.6166971082832974,0.5995316447483179,0.6293103220895311,40
Taylor,0.25,1PN,"(0.533, 0.667]",0.6015037593984963,0.6075781235408733,0.6071236165979751,0.6039815014527609,0.6116066792007135,28
Taylor,0.25,1PN,"(0.667, 0.8]",0.7234449760765552,0.6014081576487325,0.6007240055300415,0.5957824656227486,0.6075128309318929,11
Taylor,0.25,2PN,"(-0.801, -0.667]",-0.7234449760765552,3.818026309605294,3.610252719169735,2.897012309118529,4.079241870013041,11
Taylor,0.25,2PN,"(-0.667, -0.533]",-0.6015037593984963,2.586818664508791,2.6224894680109796,2.16752772615484,3.2464405211708964,28
Taylor,0.25,2PN,"(-0.533, -0.4]",-0.4715789473684212,1.8985851536512814,2.0029709036086283,1.5586904284740464,2.397326684001576,40
Taylor,0.25,2PN,"(-0.4, -0.267]",-0.33684210526315794,1.3862878790736763,1.4264285519359268,1.1831026638179387,1.6615997573579842,40
Taylor,0.25,2PN,"(-0.267, -0.133]",-0.2021052631578948,1.0871629089096848,1.1068213056657936,0.9448939262742236,1.2671339070932954,40
Taylor,0.25,2PN,"(-0.133, 0.0]",-0.0673684210526316,0.8966833788026025,0.9096726335917346,0.8009042620820311,1.0199355547497984,40
Taylor,0.25,2PN,"(0.0, 0.133]",0.06736842105263152,0.7799816146465699,0.7871745056505984,0.715190207203518,0.8618100300292324,40
Taylor,0.25,2PN,"(0.133, 0.267]",0.20210526315789465,0.7121806121756686,0.7158335454075441,0.6679561564480925,0.7644427082854373,40
Taylor,0.25,2PN,"(0.267, 0.4]",0.33684210526315783,0.6792213451382882,0.679464253946732,0.6475828870371731,0.7100669732368251,40
Taylor,0.25,2PN,"(0.4, 0.533]",0.471578947368421,0.6706550929276438,0.66934237280975,0.6520412552535035,0.6875616830922685,40
Taylor,0.25,2PN,"(0.533, 0.667]",0.6015037593984963,0.6870213838991899,0.6843884859420524,0.680472714666124,0.6914430883682472,28
Taylor,0.25,2PN,"(0.667, 0.8]",0.7234449760765552,0.7007115029303779,0.6996429883374133,0.6956891025275869,0.7039952426088016,11
Taylor,0.3,0PN,"(-0.801, -0.667]",-0.7238866396761133,6.329052508375343,6.245793002022048,6.324144068262921,6.33841865960058,12
Taylor,0.3,0PN,"(-0.667, -0.533]",-0.5934599813142324,5.474355894282321,5.312296445485115,4.651395507883159,6.280724357774633,26
Taylor,0.3,0PN,"(-0.533, -0.4]",-0.46435116130406984,3.8915546736234887,4.10634223875333,3.181558785124777,4.931312474022153,38
Taylor,0.3,0PN,"(-0.4, -0.267]",-0.33360323886639676,2.6808946707982164,2.821583316266402,2.3103863208867113,3.2035822963833795,42
Taylor,0.3,0PN,"(-0.267, -0.133]",-0.2008097165991903,2.0358323388464026,2.0817910907857167,1.80119708001094,2.3066674900861877,40
Taylor,0.3,0PN,"(-0.133, 0.0]",-0.06801619433198385,1.6205835270111801,1.656487195083631,1.486897583421499,1.8023640202883913,42
Taylor,0.3,0PN,"(0.0, 0.133]",0.06801619433198375,1.374141459968831,1.3925482922363566,1.2763295706262512,1.4864697959985587,42
Taylor,0.3,0PN,"(0.133, 0.267]",0.20080971659919017,1.1979952973133972,1.2119837721771234,1.1365295898318817,1.2795319050396519,40
Taylor,0.3,0PN,"(0.267, 0.4]",0.3336032388663967,1.086539795983343,1.0963712592503572,1.047881190388149,1.1417658751557946,42
Taylor,0.3,0PN,"(0.4, 0.533]",0.4643511613040698,1.0214840385740531,1.0258242249473468,0.9930367101956232,1.0540253200404135,38
Taylor,0.3,0PN,"(0.533, 0.667]",0.5934599813142323,0.9909465209496324,0.9954338734459948,0.9808753766918474,1.0053005160451547,26
Taylor,0.3,0PN,"(0.667, 0.8]",0.7238866396761133,0.9715620569023082,0.9711338489835167,0.9671968938121033,0.9768613000228151,12
Taylor,0.3,1PN,"(-0.801, -0.667]",-0.7238866396761133,3.3864137098359017,3.2910975324750935,2.950171416826147,3.6223626453137654,12
Taylor,0.3,1PN,"(-0.667, -0.533]",-0.5934599813142324,2.526061064799373,2.551220337874354,2.254355803912759,2.8660136964648846,26
Taylor,0.3,1PN,"(-0.533, -0.4]",-0.46435116130406984,2.006966214777605,2.0680963088971858,1.7586164908953537,2.3456539081655667,38
Taylor,0.3,1PN,"(-0.4, -0.267]",-0.33360323886639676,1.5475813394650826,1.5888505191771694,1.3834936316177844,1.7604379819519362,42
Taylor,0.3,1PN,"(-0.267, -0.133]",-0.20080971659919028,1.2461533709496129,1.2619691085874967,1.1239293532382628,1.3779746207992591,40
Taylor,0.3,1PN,"(-0.133, 0.0]",-0.06801619433198385,1.0273242010785866,1.0460070994550206,0.9552444181049673,1.1242962135077137,42
Taylor,0.3,1PN,"(0.0, 0.133]",0.06801619433198375,0.8940934551683506,0.9048423787878688,0.8416861062798163,0.9566168107000285,42
Taylor,0.3,1PN,"(0.133, 0.267]",0.20080971659919017,0.8007555733409997,0.8086034341433198,0.7690042316963424,0.8442883806872167,40
Taylor,0.3,1PN,"(0.267, 0.4]",0.3336032388663967,0.7459819330773221,0.7516510729460125,0.7281653932552105,0.7735290514734265,42
Taylor,0.3,1PN,"(0.4, 0.533]",0.4643511613040698,0.7219546001621182,0.7232465987636757,0.7106920824966487,0.7335329813065985,38
Taylor,0.3,1PN,"(0.533, 0.667]",0.5934599813142323,0.7171296488244239,0.7171291198937164,0.715652861920016,0.7193436341596703,26
Taylor,0.3,1PN,"(0.667, 0.8]",0.7238866396761133,0.7125736213088814,0.7122412930612577,0.7068597252714987,0.7175532054713587,12
Taylor,0.3,2PN,"(-0.801, -0.667]",-0.7238866396761133,2.3067057390388213,2.2295247085260317,2.065282927977262,2.3934397530245364,12
Taylor,0.3,2PN,"(-0.667, -0.533]",-0.5934599813142324,1.8859970583987329,1.8717677772336745,1.7013004983822064,2.0885359486901063,26
Taylor,0.3,2PN,"(-0.533, -0.4]",-0.46435116130406984,1.5669222103771643,1.6073976074480938,1.3819788271289768,1.8140007428490348,38
Taylor,0.3,2PN,"(-0.4, -0.267]",-0.33360323886639676,1.2931558969208279,1.3033553029888838,1.1372690091555384,1.4340053386876095,42
Taylor,0.3,2PN,"(-0.267, -0.133]",-0.20080971659919028,1.089337689381456,1.08533144482112,0.966513611664105,1.179754798817061,40
Taylor,0.3,2PN,"(-0.133, 0.0]",-0.06801619433198385,0.9273142000784864,0.9421681441309167,0.8610349971628734,1.0102385605481827,42
Taylor,0.3,2PN,"(0.0, 0.133]",0.06801619433198375,0.8468285493773544,0.8549326259078188,0.7994709398118852,0.9034949518596629,42
Taylor,0.3,2PN,"(0.133, 0.267]",0.20080971659919017,0.7916730212649172,0.800822656065512,0.7622617307327071,0.8366919841611712,40
Taylor,0.3,2PN,"(0.267, 0.4]",0.3336032388663967,0.7790455836813215,0.7780727627340389,0.7556852602505354,0.8001384992881871,42
Taylor,0.3,2PN,"(0.4, 0.533]",0.4643511613040698,0.7815903661133998,0.7787047761603627,0.7692729868870475,0.7916811642402326,38
Taylor,0.3,2PN,"(0.533, 0.667]",0.5934599813142323,0.7983954974775151,0.7987372807097981,0.794940817341164,0.803069946314112,26
Taylor,0.3,2PN,"(0.667, 0.8]",0.7238866396761133,0.8200039127198866,0.8187186074593641,0.8128802396881519,0.8258151072868544,12
Taylor,0.35,0PN,"(-0.801, -0.667]",-0.7196881091617934,5.368993232641217,5.302363045097181,4.880311455522323,5.763666511372473,12
Taylor,0.35,0PN,"(-0.667, -0.533]",-0.5910331384015595,4.012572971743931,4.066825796435569,3.6051085850703206,4.5376874752111105,23
Taylor,0.35,0PN,"(-0.533, -0.4]",-0.46180917759865125,3.1484279877033554,3.2049952942500717,2.7243235263072654,3.649151080269629,37
Taylor,0.35,0PN,"(-0.4, -0.267]",-0.3337231968810916,2.4562424593450634,2.533134028441027,2.159262966173402,2.826712429420759,42
Taylor,0.35,0PN,"(-0.267, -0.133]",-0.2011695906432749,1.9742582785969025,2.0193206035844105,1.7951715353645554,2.2042678493168717,43
Taylor,0.35,0PN,"(-0.133, 0.0]",-0.067056530214425,1.629962925459452,1.6475518886083247,1.500586423821472,1.7729297481717283,43
Taylor,0.35,0PN,"(0.0, 0.133]",0.0670565302144249,1.4186901089761568,1.437560050023465,1.3360049810274865,1.5261549459782249,43
Taylor,0.35,0PN,"(0.133, 0.267]",0.20116959064327478,1.264090451465139,1.2725440576479015,1.2049852849307217,1.3299549386419869,43
Taylor,0.35,0PN,"(0.267, 0.4]",0.33372319688109153,1.1700898021273207,1.1764359907213422,1.1267455663643942,1.2191336158452137,42
Taylor,0.35,0PN,"(0.4, 0.533]",0.4618091775986512,1.1144581840056769,1.119895969270025,1.0922909045264966,1.1432024771952878,37
Taylor,0.35,0PN,"(0.533, 0.667]",0.5910331384015594,1.0867112852445144,1.0883307808844724,1.0772406799492646,1.0965230526407295,23
Taylor,0.35,0PN,"(0.667, 0.8]",0.7196881091617934,1.0668637464776725,1.0659359788632798,1.0619486875547253,1.0701992060631302,12
Taylor,0.35,1PN,"(-0.801, -0.667]",-0.7196881091617934,2.5535116844864016,2.5476209042164264,2.3996633907158422,2.705560700791415,12
Taylor,0.35,1PN,"(-0.667, -0.533]",-0.5910331384015595,2.108382552702028,2.1084734394607407,1.950543128524666,2.269860692532843,23
Taylor,0.35,1PN,"(-0.533, -0.4]",-0.46180917759865125,1.7706902139259784,1.78344773408865,1.5986109550501393,1.9609822633879417,37
Taylor,0.35,1PN,"(-0.4, -0.267]",-0.3337231968810916,1.4729441295120802,1.5003450352559942,1.3331803579125756,1.6405938175595738,42
Taylor,0.35,1PN,"(-0.267, -0.133]",-0.2011695906432749,1.2381846712361662,1.2580351727157424,1.1459066088719063,1.356183040836024,43
Taylor,0.35,1PN,"(-0.133, 0.0]",-0.067056530214425,1.0555054797148768,1.0652611013900677,0.9861349786769578,1.130865541751086,43
Taylor,0.35,1PN,"(0.0, 0.133]",0.0670565302144249,0.943442584223682,0.953530251694795,0.8991612966590494,0.9989022207056977,43
Taylor,0.35,1PN,"(0.133, 0.267]",0.20116959064327478,0.8632503674567382,0.8681129168594041,0.8325480412063488,0.8967116143095539,43
Taylor,0.35,1PN,"(0.267, 0.4]",0.33372319688109153,0.8196547586229699,0.8227625281369885,0.8016824089514443,0.8420959120748368,42
Taylor,0.35,1PN,"(0.4, 0.533]",0.4618091775986512,0.7992266608533618,0.8015722450057067,0.7939470659403143,0.8095026936171146,37
Taylor,0.35,1PN,"(0.533, 0.667]",0.5910331384015594,0.796266659588682,0.7952579953450488,0.7938690419747592,0.797607892129365,23
Taylor,0.35,1PN,"(0.667, 0.8]",0.7196881091617934,0.7940808902844279,0.7927086561310063,0.7889696342196332,0.7967280524720531,12
Taylor,0.35,2PN,"(-0.801, -0.667]",-0.7196881091617934,1.8566419975177044,1.8366831437737152,1.7535987842551966,1.9252826729886352,12
Taylor,0.35,2PN,"(-0.667, -0.533]",-0.5910331384015595,1.6025950242985498,1.601153142213625,1.506098684080221,1.7118048869522853,23
Taylor,0.35,2PN,"(-0.533, -0.4]",-0.46180917759865125,1.3920666774783013,1.4168381001522834,1.280179111865821,1.5521413792995324,37
Taylor,0.35,2PN,"(-0.4, -0.267]",-0.3337231968810916,1.2277196070598348,1.2446242250797384,1.1109581356903533,1.364966254803298,42
Taylor,0.35,2PN,"(-0.267, -0.133]",-0.20116959064327486,1.0797688296520076,1.0917487766342737,0.9938914073517546,1.1913665591878586,43
Taylor,0.35,2PN,"(-0.133, 0.0]",-0.067056530214425,0.9426941985867644,0.9678932250675517,0.9087853069314892,1.0175277054043645,43
Taylor,0.35,2PN,"(0.0, 0.133]",0.0670565302144249,0.9078814150132924,0.9060464335455383,0.8615427550956594,0.9407695267473641,43
Taylor,0.35,2PN,"(0.133, 0.267]",0.20116959064327478,0.8568758545853368,0.8627170284333521,0.8348605667093245,0.8909742880568328,43
