q,chi1_z,chi2_z,PN_order,Padé,Taylor,Taylor_minus_Pade,Pade_better
0.25,-0.7157894736842105,-0.5473684210526316,2PN,3.468530931068403,1.8435684348187784,-1.6249624962496247,False
0.25,-0.7157894736842105,-0.4631578947368421,0PN,5.122877563179123,4.211586434066211,-0.9112911291129118,False
0.25,-0.7157894736842105,-0.4631578947368421,1PN,2.608226098032607,2.048170092432048,-0.560056005600559,False
0.25,-0.7157894736842105,-0.4631578947368421,2PN,2.8978550609288964,1.5617214475675611,-1.3361336133613353,False
0.25,-0.7157894736842105,-0.3789473684210527,0PN,4.193221552955562,3.215523783178585,-0.9776977697769769,False
0.25,-0.7157894736842105,-0.3789473684210527,1PN,1.960198250625329,1.7177740082010868,-0.2424242424242422,False
0.25,-0.7157894736842105,-0.3789473684210527,2PN,2.442646495449812,1.3497372045207183,-1.0929092909290938,False
0.25,-0.7157894736842105,-0.2947368421052632,0PN,3.4171444135132183,2.5930620052723934,-0.8240824082408249,False
0.25,-0.7157894736842105,-0.2947368421052632,1PN,1.4609487939512618,1.4713498340552724,0.010401040104010661,True
0.25,-0.7157894736842105,-0.2947368421052632,2PN,2.0682095200238693,1.1849211911909854,-0.8832883288328839,False
0.25,-0.7157894736842105,-0.2105263157894737,0PN,2.761589124603596,2.164729438635,-0.5968596859685964,False
0.25,-0.7157894736842105,-0.2105263157894737,1PN,1.0678197476659022,1.2726402297141068,0.2048204820482047,True
0.25,-0.7157894736842105,-0.2105263157894737,2PN,1.7438873544265785,1.047817747465882,-0.6960696069606964,False
0.25,-0.7157894736842105,-0.1263157894736842,0PN,2.2209875784097552,1.861751654817396,-0.35923592359235923,False
0.25,-0.7157894736842105,-0.1263157894736842,1PN,0.7696424438963034,1.122477727424656,0.3528352835283526,True
0.25,-0.7157894736842105,-0.1263157894736842,2PN,1.467312210873001,0.9448599656484792,-0.5224522452245218,False
0.25,-0.7157894736842105,-0.0421052631578947,0PN,1.7679273671664006,1.6327138458142647,-0.13521352135213593,False
0.25,-0.7157894736842105,-0.0421052631578947,1PN,0.5374043148611696,1.0022507995096346,0.464846484648465,True
0.25,-0.7157894736842105,-0.0421052631578947,2PN,1.2302736017898628,0.8638369581254963,-0.36643664366436646,False
0.25,-0.7157894736842105,0.0421052631578946,0PN,1.3865511491665954,1.454557949846663,0.06800680068006759,True
0.25,-0.7157894736842105,0.0421052631578946,1PN,0.3560480988615646,0.9065031443661152,0.5504550455045507,True
0.25,-0.7157894736842105,0.0421052631578946,2PN,1.019314425494228,0.8000925033020092,-0.2192219221922187,False
0.25,-0.7157894736842105,0.1263157894736841,0PN,1.0560484706322968,1.3064735131365477,0.2504250425042509,True
0.25,-0.7157894736842105,0.1263157894736841,1PN,0.2055634221274469,0.821625028288063,0.6160616061606161,True
0.25,-0.7157894736842105,0.1263157894736841,2PN,0.8160244682320568,0.7424171074959838,-0.07360736073607299,False
0.25,-0.7157894736842105,0.2105263157894736,0PN,0.7804304254820882,1.1940717896185018,0.4136413641364136,True
0.25,-0.7157894736842105,0.2105263157894736,1PN,0.0931616986094003,0.7596283452740669,0.6664666466646666,True
0.25,-0.7157894736842105,0.2105263157894736,2PN,0.6324156240019403,0.7052229047300131,0.07280728072807285,True
0.25,-0.7157894736842105,0.2947368421052632,0PN,0.5370103244343549,1.0970663300349153,0.5600560056005603,True
0.25,-0.7157894736842105,0.2947368421052632,1PN,0.0030436809661851,0.7042270461065221,0.701183365140337,True
0.25,-0.7157894736842105,0.2947368421052632,2PN,0.449001523554267,0.6698236057624878,0.2208220822082208,True
0.25,-0.7157894736842105,0.3789473684210525,0PN,0.3332443985141129,1.025313605434805,0.6920692069206922,True
0.25,-0.7157894736842105,0.3789473684210525,1PN,0.0731962455502932,0.6668777618504462,0.593681516300153,True
0.25,-0.7157894736842105,0.3789473684210525,2PN,0.2788389579700583,0.650876161690431,0.37203720372037274,True
