configuration_name,q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,a_merger_NR,delta_a_0PN,delta_a_1PN,delta_a_2PN
counter_tilted_opposite_azimuth_q0.3_chi10.2_chi20.2_th145_th2135_dphi0,0.3,0.2,0.2,45.0,135.0,0.0,3.3802680585049427,0.6463122072977145,0.0948152039763994,0.4811905560812053
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,3.238770538665084,0.5074869239095414,0.1088392393520911,0.4081259302996067
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi0,0.3,0.2,0.2,179.94270422048692,179.94270422048692,0.0,3.4778380093823777,2.0305170741684613,0.5554623236209544,1.3210699796975156
primary_aligned_secondary_antialigned_q0.3_chi10.2_chi20.2_th10.0573_th2180_dphi0,0.3,0.2,0.2,0.0572957795130823,179.94270422048692,0.0,3.259401440359351,0.59773713102636,0.0757096034409805,0.4772559262143154
primary_antialigned_secondary_aligned_q0.3_chi10.2_chi20.2_th1180_th20.0573_dphi0,0.3,0.2,0.2,179.94270422048692,0.0572957795130823,0.0,3.458086677817605,1.8606665097142705,0.4734526375755474,1.172819631245488
random_like_3_q0.3_chi10.2_chi20.2_th176_th2156_dphi73,0.3,0.2,0.2,76.0,156.0,73.0,3.141313659672962,1.2231899853634882,0.3409411628752661,0.9908676621402588
