configuration_name,q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,PN_order,mean_a_max,median_a_max,std_a_max,mean_abs_delta_a,median_abs_delta_a,std_abs_delta_a,min_abs_delta_a,max_abs_delta_a,mean_signed_delta_a,median_signed_delta_a,std_signed_delta_a
counter_tilted_opposite_azimuth_q0.3_chi10.2_chi20.2_th145_th2135_dphi0,0.3,0.2,0.2,45.0,135.0,0.0,0PN,4.026580265802657,4.026580265802657,0.0,0.6463122072977145,0.6463122072977145,0.0,0.6463122072977145,0.6463122072977145,0.6463122072977145,0.6463122072977145,0.0
counter_tilted_opposite_azimuth_q0.3_chi10.2_chi20.2_th145_th2135_dphi0,0.3,0.2,0.2,45.0,135.0,0.0,1PN,3.2854528545285437,3.2854528545285437,0.0,0.0948152039763994,0.0948152039763994,0.0,0.0948152039763994,0.0948152039763994,-0.0948152039763994,-0.0948152039763994,0.0
counter_tilted_opposite_azimuth_q0.3_chi10.2_chi20.2_th145_th2135_dphi0,0.3,0.2,0.2,45.0,135.0,0.0,2PN,3.861458614586148,3.861458614586148,0.0,0.4811905560812053,0.4811905560812053,0.0,0.4811905560812053,0.4811905560812053,0.4811905560812053,0.4811905560812053,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,0PN,3.7462574625746257,3.7462574625746257,0.0,0.5074869239095414,0.5074869239095414,0.0,0.5074869239095414,0.5074869239095414,0.5074869239095414,0.5074869239095414,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,1PN,3.129931299312993,3.129931299312993,0.0,0.1088392393520911,0.1088392393520911,0.0,0.1088392393520911,0.1088392393520911,-0.1088392393520911,-0.1088392393520911,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,2PN,3.646896468964691,3.646896468964691,0.0,0.4081259302996067,0.4081259302996067,0.0,0.4081259302996067,0.4081259302996067,0.4081259302996067,0.4081259302996067,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi0,0.3,0.2,0.2,179.94270422048692,179.94270422048692,0.0,0PN,5.508355083550839,5.508355083550839,0.0,2.0305170741684613,2.0305170741684613,0.0,2.0305170741684613,2.0305170741684613,2.0305170741684613,2.0305170741684613,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi0,0.3,0.2,0.2,179.94270422048692,179.94270422048692,0.0,1PN,4.033300333003332,4.033300333003332,0.0,0.5554623236209544,0.5554623236209544,0.0,0.5554623236209544,0.5554623236209544,0.5554623236209544,0.5554623236209544,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi0,0.3,0.2,0.2,179.94270422048692,179.94270422048692,0.0,2PN,4.798907989079893,4.798907989079893,0.0,1.3210699796975156,1.3210699796975156,0.0,1.3210699796975156,1.3210699796975156,1.3210699796975156,1.3210699796975156,0.0
primary_aligned_secondary_antialigned_q0.3_chi10.2_chi20.2_th10.0573_th2180_dphi0,0.3,0.2,0.2,0.0572957795130823,179.94270422048692,0.0,0PN,3.857138571385711,3.857138571385711,0.0,0.59773713102636,0.59773713102636,0.0,0.59773713102636,0.59773713102636,0.59773713102636,0.59773713102636,0.0
primary_aligned_secondary_antialigned_q0.3_chi10.2_chi20.2_th10.0573_th2180_dphi0,0.3,0.2,0.2,0.0572957795130823,179.94270422048692,0.0,1PN,3.1836918369183707,3.1836918369183707,0.0,0.0757096034409805,0.0757096034409805,0.0,0.0757096034409805,0.0757096034409805,-0.0757096034409805,-0.0757096034409805,0.0
primary_aligned_secondary_antialigned_q0.3_chi10.2_chi20.2_th10.0573_th2180_dphi0,0.3,0.2,0.2,0.0572957795130823,179.94270422048692,0.0,2PN,3.736657366573666,3.736657366573666,0.0,0.4772559262143154,0.4772559262143154,0.0,0.4772559262143154,0.4772559262143154,0.4772559262143154,0.4772559262143154,0.0
primary_antialigned_secondary_aligned_q0.3_chi10.2_chi20.2_th1180_th20.0573_dphi0,0.3,0.2,0.2,179.94270422048692,0.0572957795130823,0.0,0PN,5.318753187531875,5.318753187531875,0.0,1.8606665097142705,1.8606665097142705,0.0,1.8606665097142705,1.8606665097142705,1.8606665097142705,1.8606665097142705,0.0
primary_antialigned_secondary_aligned_q0.3_chi10.2_chi20.2_th1180_th20.0573_dphi0,0.3,0.2,0.2,179.94270422048692,0.0572957795130823,0.0,1PN,3.931539315393152,3.931539315393152,0.0,0.4734526375755474,0.4734526375755474,0.0,0.4734526375755474,0.4734526375755474,0.4734526375755474,0.4734526375755474,0.0
primary_antialigned_secondary_aligned_q0.3_chi10.2_chi20.2_th1180_th20.0573_dphi0,0.3,0.2,0.2,179.94270422048692,0.0572957795130823,0.0,2PN,4.630906309063093,4.630906309063093,0.0,1.172819631245488,1.172819631245488,0.0,1.172819631245488,1.172819631245488,1.172819631245488,1.172819631245488,0.0
