configuration_name,q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,PN_order,mean_a_max,median_a_max,std_a_max,mean_abs_delta_a,median_abs_delta_a,std_abs_delta_a,min_abs_delta_a,max_abs_delta_a,mean_signed_delta_a,median_signed_delta_a,std_signed_delta_a
counter_tilted_opposite_azimuth_q0.3_chi10.2_chi20.2_th145_th2135_dphi0,0.3,0.2,0.2,45.0,135.0,0.0,0PN,3.684968496849685,3.684968496849685,0.0,0.3047004383447418,0.3047004383447418,0.0,0.3047004383447418,0.3047004383447418,0.3047004383447418,0.3047004383447418,0.0
counter_tilted_opposite_azimuth_q0.3_chi10.2_chi20.2_th145_th2135_dphi0,0.3,0.2,0.2,45.0,135.0,0.0,1PN,2.9776977697769773,2.9776977697769773,0.0,0.4025702887279654,0.4025702887279654,0.0,0.4025702887279654,0.4025702887279654,-0.4025702887279654,-0.4025702887279654,0.0
counter_tilted_opposite_azimuth_q0.3_chi10.2_chi20.2_th145_th2135_dphi0,0.3,0.2,0.2,45.0,135.0,0.0,2PN,2.9139913991399133,2.9139913991399133,0.0,0.4662766593650294,0.4662766593650294,0.0,0.4662766593650294,0.4662766593650294,-0.4662766593650294,-0.4662766593650294,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,0PN,3.424942494249425,3.424942494249425,0.0,0.1861719555843408,0.1861719555843408,0.0,0.1861719555843408,0.1861719555843408,0.1861719555843408,0.1861719555843408,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,1PN,2.7267726772677268,2.7267726772677268,0.0,0.5119978613973575,0.5119978613973575,0.0,0.5119978613973575,0.5119978613973575,-0.5119978613973575,-0.5119978613973575,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,2PN,2.7111711171117108,2.7111711171117108,0.0,0.5275994215533735,0.5275994215533735,0.0,0.5275994215533735,0.5275994215533735,-0.5275994215533735,-0.5275994215533735,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi0,0.3,0.2,0.2,179.94270422048692,179.94270422048692,0.0,0PN,4.999399939994,4.999399939994,0.0,1.5215619306116217,1.5215619306116217,0.0,1.5215619306116217,1.5215619306116217,1.5215619306116217,1.5215619306116217,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi0,0.3,0.2,0.2,179.94270422048692,179.94270422048692,0.0,1PN,4.072407240724072,4.072407240724072,0.0,0.5945692313416941,0.5945692313416941,0.0,0.5945692313416941,0.5945692313416941,0.5945692313416941,0.5945692313416941,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi0,0.3,0.2,0.2,179.94270422048692,179.94270422048692,0.0,2PN,3.87998799879988,3.87998799879988,0.0,0.4021499894175022,0.4021499894175022,0.0,0.4021499894175022,0.4021499894175022,0.4021499894175022,0.4021499894175022,0.0
primary_aligned_secondary_antialigned_q0.3_chi10.2_chi20.2_th10.0573_th2180_dphi0,0.3,0.2,0.2,0.0572957795130823,179.94270422048692,0.0,0PN,3.539353935393539,3.539353935393539,0.0,0.2799524950341876,0.2799524950341876,0.0,0.2799524950341876,0.2799524950341876,0.2799524950341876,0.2799524950341876,0.0
primary_aligned_secondary_antialigned_q0.3_chi10.2_chi20.2_th10.0573_th2180_dphi0,0.3,0.2,0.2,0.0572957795130823,179.94270422048692,0.0,1PN,2.834683468346835,2.834683468346835,0.0,0.424717972012516,0.424717972012516,0.0,0.424717972012516,0.424717972012516,-0.424717972012516,-0.424717972012516,0.0
primary_aligned_secondary_antialigned_q0.3_chi10.2_chi20.2_th10.0573_th2180_dphi0,0.3,0.2,0.2,0.0572957795130823,179.94270422048692,0.0,2PN,2.783978397839784,2.783978397839784,0.0,0.4754230425195676,0.4754230425195676,0.0,0.4754230425195676,0.4754230425195676,-0.4754230425195676,-0.4754230425195676,0.0
primary_antialigned_secondary_aligned_q0.3_chi10.2_chi20.2_th1180_th20.0573_dphi0,0.3,0.2,0.2,179.94270422048692,0.0572957795130823,0.0,0PN,4.845984598459847,4.845984598459847,0.0,1.3878979206422415,1.3878979206422415,0.0,1.3878979206422415,1.3878979206422415,1.3878979206422415,1.3878979206422415,0.0
primary_antialigned_secondary_aligned_q0.3_chi10.2_chi20.2_th1180_th20.0573_dphi0,0.3,0.2,0.2,179.94270422048692,0.0572957795130823,0.0,1PN,3.9540954095409546,3.9540954095409546,0.0,0.4960087317233497,0.4960087317233497,0.0,0.4960087317233497,0.4960087317233497,0.4960087317233497,0.4960087317233497,0.0
primary_antialigned_secondary_aligned_q0.3_chi10.2_chi20.2_th1180_th20.0573_dphi0,0.3,0.2,0.2,179.94270422048692,0.0572957795130823,0.0,2PN,3.7993799379937983,3.7993799379937983,0.0,0.3412932601761933,0.3412932601761933,0.0,0.3412932601761933,0.3412932601761933,0.3412932601761933,0.3412932601761933,0.0
