configuration_name,q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,spin_geometry,method,PN_order,n_runs,mean_a_max,median_a_max,std_a_max,mean_S_max,median_S_max,std_S_max,mean_chi_at_max,median_chi_at_max,std_chi_at_max,mean_abs_delta_a,median_abs_delta_a,std_abs_delta_a,min_abs_delta_a,max_abs_delta_a,mean_signed_delta_a,median_signed_delta_a,std_signed_delta_a
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,nearly_aligned,Padé,0PN,1,3.7462574625746257,3.7462574625746257,0.0,11.193177531943952,11.193177531943952,0.0,0.495275229352649,0.495275229352649,0.0,0.5074869239095414,0.5074869239095414,0.0,0.5074869239095414,0.5074869239095414,0.5074869239095414,0.5074869239095414,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,nearly_aligned,Padé,1PN,1,3.129931299312993,3.129931299312993,0.0,10.599368525566025,10.599368525566025,0.0,0.6655066371207085,0.6655066371207085,0.0,0.1088392393520911,0.1088392393520911,0.0,0.1088392393520911,0.1088392393520911,-0.1088392393520911,-0.1088392393520911,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,nearly_aligned,Padé,2PN,1,3.646896468964691,3.646896468964691,0.0,10.509698360118282,10.509698360118282,0.0,0.6828969304603305,0.6828969304603305,0.0,0.4081259302996067,0.4081259302996067,0.0,0.4081259302996067,0.4081259302996067,0.4081259302996067,0.4081259302996067,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,nearly_aligned,Taylor,0PN,1,3.42574257425742,3.42574257425742,0.0,11.910147864491885,11.910147864491885,0.0,0.0672465940320112,0.0672465940320112,0.0,0.1869720355923356,0.1869720355923356,0.0,0.1869720355923356,0.1869720355923356,0.1869720355923356,0.1869720355923356,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,nearly_aligned,Taylor,1PN,1,2.7248724872487244,2.7248724872487244,0.0,12.216611005973586,12.216611005973586,0.0,-0.0042915140706045,-0.0042915140706045,0.0,0.5138980514163598,0.5138980514163598,0.0,0.5138980514163598,0.5138980514163598,-0.5138980514163598,-0.5138980514163598,0.0
nearly_aligned_q0.3_chi10.2_chi20.2_th10.0573_th20.0573_dphi0,0.3,0.2,0.2,0.0572957795130823,0.0572957795130823,0.0,nearly_aligned,Taylor,2PN,1,2.710471047104704,2.710471047104704,0.0,12.134639964162096,12.134639964162096,0.0,0.0099175439480918,0.0099175439480918,0.0,0.52829949156038,0.52829949156038,0.0,0.52829949156038,0.52829949156038,-0.52829949156038,-0.52829949156038,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi73,0.3,0.2,0.2,179.94270422048692,179.94270422048692,73.0,nearly_antialigned,Padé,0PN,1,5.508355083550839,5.508355083550839,0.0,11.889944806332622,11.889944806332622,0.0,0.297383783385277,0.297383783385277,0.0,2.0305170741684613,2.0305170741684613,0.0,2.0305170741684613,2.0305170741684613,2.0305170741684613,2.0305170741684613,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi73,0.3,0.2,0.2,179.94270422048692,179.94270422048692,73.0,nearly_antialigned,Padé,1PN,1,4.033300333003332,4.033300333003332,0.0,11.651506591950852,11.651506591950852,0.0,0.4160117498470461,0.4160117498470461,0.0,0.5554623236209544,0.5554623236209544,0.0,0.5554623236209544,0.5554623236209544,0.5554623236209544,0.5554623236209544,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi73,0.3,0.2,0.2,179.94270422048692,179.94270422048692,73.0,nearly_antialigned,Padé,2PN,1,4.798907989079893,4.798907989079893,0.0,11.504643428820374,11.504643428820374,0.0,0.47934056828266763,0.47934056828266763,0.0,1.3210699796975156,1.3210699796975156,0.0,1.3210699796975156,1.3210699796975156,1.3210699796975156,1.3210699796975156,0.0
nearly_antialigned_q0.3_chi10.2_chi20.2_th1180_th2180_dphi73,0.3,0.2,0.2,179.94270422048692,179.94270422048692,73.0,nearly_antialigned,Taylor,0PN,1,5.000300030002997,5.000300030002997,0.0,12.110116418621885,12.110116418621885,0.0,0.0681575605406104,0.0681575605406104,0.0,1.522462020620619,1.522462020620619,0.0,1.522462020620619,1.522462020620619,1.522462020620619,1.522462020620619,0.0
