PN_order,pade_label,pade_num_degree,pade_den_degree,n_success,mean_a_max,median_a_max,std_a_max,min_a_max,max_a_max,mean_delta_a,median_delta_a,std_delta_a,min_delta_a,max_delta_a,mean_physical_fraction,min_physical_fraction
0PN,Padé [1/1],1,1,4,2.9325432543254335,2.937093709370938,0.08133978013537749,2.8341834183418353,3.021802180218023,0.20877040534752833,0.2042199503020239,0.08133978013537753,0.119511479454939,0.30713024133112654,1.0,1.0
0PN,Padé [2/1],2,1,4,4.378537853785378,4.378537853785378,0.0,4.378537853785378,4.378537853785378,1.2372241941124162,1.2372241941124162,0.0,1.2372241941124162,1.2372241941124162,1.0,1.0
0PN,Padé [2/2],2,2,4,4.378537853785378,4.378537853785378,0.0011432095342525025,4.377137713771377,4.3799379937993805,1.2372241941124167,1.2372241941124162,0.001143209534252382,1.2358240540984156,1.2386243341264187,1.0,1.0
0PN,Padé [3/1],3,1,4,4.38063806380638,4.381338133813381,0.0014001400140016213,4.378537853785378,4.381338133813381,1.2393244041334186,1.2400244741404194,0.0014001400140015718,1.2372241941124162,1.2400244741404194,1.0,1.0
0PN,Padé [3/2],3,2,4,4.3799379937993805,4.3799379937993805,0.0,4.3799379937993805,4.3799379937993805,1.2386243341264187,1.2386243341264187,0.0,1.2386243341264187,1.2386243341264187,1.0,1.0
0PN,Padé [4/2],4,2,4,4.3928892889288935,4.393239323932393,0.004900490049004571,4.3869386938693875,4.398139813981398,1.2515756292559312,1.2519256642594314,0.004900490049004677,1.2456250341964257,1.2568261543084365,1.0,1.0
1PN,Padé [1/1],1,1,4,1.8841884188418847,1.884888488848885,0.018093796556303686,1.8624862486248634,1.9044904490449053,1.2571252408310771,1.2564251708240768,0.018093796556303686,1.2368232106280566,1.2788274110480984,1.0,1.0
1PN,Padé [2/1],2,1,4,3.4831483148314835,3.4831483148314835,0.005176101313122007,3.4768476847684777,3.489448944894489,0.3418346551585216,0.3418346551585216,0.005176101313121962,0.3355340250955159,0.34813528522152737,1.0,1.0
1PN,Padé [2/2],2,2,4,2.881438143814382,2.880388038803881,0.018089281572688815,2.8607860786078607,2.904190419041905,0.25987551585857993,0.2609256208690809,0.018089281572688815,0.23712324063105683,0.2805275810651011,1.0,1.0
1PN,Padé [3/1],3,1,4,1.0,1.0,0.0,1.0,1.0,2.141313659672962,2.141313659672962,0.0,2.141313659672962,2.141313659672962,1.0,1.0
1PN,Padé [3/2],3,2,4,1.0,1.0,0.0,1.0,1.0,2.141313659672962,2.141313659672962,0.0,2.141313659672962,2.141313659672962,1.0,1.0
1PN,Padé [4/2],4,2,4,1.0,1.0,0.0,1.0,1.0,2.141313659672962,2.141313659672962,0.0,2.141313659672962,2.141313659672962,1.0,1.0
2PN,Padé [1/1],1,1,4,1.8631863186318638,1.8631863186318638,0.01988330284081589,1.84008400840084,1.8862886288628875,1.278127341041098,1.278127341041098,0.01988330284081589,1.2550250308100743,1.3012296512721218,1.0,1.0
2PN,Padé [2/1],2,1,4,4.138763876387639,4.136313631363136,0.013878347155835618,4.125112511251125,4.157315731573158,0.997450216714677,0.9949999716901745,0.013878347155835496,0.9837988515781628,1.0160020719001963,1.0,1.0
2PN,Padé [2/2],2,2,4,3.915091509150915,3.9150915091509155,0.007230291942114922,3.906690669066906,3.923492349234923,0.7737778494779533,0.7737778494779537,0.007230291942114922,0.7653770093939443,0.7821786895619613,1.0,1.0
2PN,Padé [3/1],3,1,4,3.8944394439443943,3.8940894089408937,0.00418092842851504,3.889888988898891,3.899689968996899,0.7531257842714325,0.7527757492679319,0.0041809284285150815,0.748575329225929,0.7583763093239373,1.0,1.0
2PN,Padé [3/2],3,2,4,3.8695869586958693,3.8870887088708868,0.044046959874662575,3.8044804480448047,3.899689968996899,0.7282732990229075,0.7457750491979249,0.04404695987466254,0.6631667883718428,0.7583763093239373,1.0,1.0
2PN,Padé [4/2],4,2,4,3.8125312531253126,3.809380938093809,0.04219628049262427,3.765276527652766,3.8660866086608667,0.6712175934523508,0.668067278420847,0.04219628049262427,0.6239628679798042,0.7247729489879049,1.0,1.0
