PN_order,model,pade_num_degree,pade_den_degree,pade_label,sigma_power,a_max,S_max,M_at_max,J_at_max,chi_at_max,Ebind_at_max,a_merger_NR,delta_a,cost_Ebind,cost_chi,nfev_Ebind,nfev_chi,a_extrap_min,a_extrap_max,n_extrap,n_physical_points,physical_fraction,flags,status,error
0PN,Padé [1/1],1,1,Padé [1/1],1.0,2.8341834183418353,11.66397648449943,0.9786376911595749,0.33118307584116224,0.3457994188499493,-0.02136230884042503,3.141313659672962,0.30713024133112654,1.1559619545131739e-05,0.00012728852977228478,8,338,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [1/1],1,1,Padé [1/1],2.0,2.904190419041905,11.64920041785429,0.9784248453164783,0.3351995976937066,0.35014549588319105,-0.021575154683521527,3.141313659672962,0.23712324063105683,4.08424683095987e-06,4.553270474816351e-05,8,382,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [1/1],1,1,Padé [1/1],3.0,2.969996999699971,11.636275223707116,0.9782646433948081,0.3389435816741164,0.3541723878245602,-0.02173535660519174,3.141313659672962,0.17131665997299095,1.4430271981780152e-06,1.608310035616789e-05,8,338,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [1/1],1,1,Padé [1/1],4.0,3.021802180218023,11.626189958853969,0.978145449399556,0.34189217286496376,0.35734053290158824,-0.02185455060044383,3.141313659672962,0.119511479454939,5.349658176445615e-07,5.805433729522136e-06,8,393,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/1],2,1,Padé [2/1],1.0,4.378537853785378,11.492675046231088,0.9797289872990981,0.4071334766110228,0.4241553002351207,-0.02027101270090177,3.141313659672962,1.2372241941124162,0.0,5.187517082561044e-11,1,143,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/1],2,1,Padé [2/1],2.0,4.378537853785378,11.492650435886768,0.9797289872990981,0.40714183916331953,0.42416401241695767,-0.02027101270090176,3.141313659672962,1.2372241941124162,0.0,1.9305668175206847e-11,1,16,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/1],2,1,Padé [2/1],3.0,4.378537853785378,11.492627060715312,0.9797289872990981,0.4071497818120825,0.4241722871395346,-0.020271012700901807,3.141313659672962,1.2372241941124162,0.0,7.061906615035696e-12,1,16,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [2/1],2,1,Padé [2/1],4.0,4.378537853785378,11.492604791012356,0.9797289872990981,0.40715734865799696,0.42418017034734,-0.02027101270090184,3.141313659672962,1.2372241941124162,0.0,2.4993340730361524e-12,1,16,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [3/1],3,1,Padé [3/1],1.0,4.378537853785378,11.49266362563154,0.9797289872990981,0.40713735733697864,0.42415934321015836,-0.020271012700901845,3.141313659672962,1.2372241941124162,0.0,5.0848880661646945e-11,1,441,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [3/1],3,1,Padé [3/1],2.0,4.381338133813381,11.492424514574193,0.979741943275167,0.4073326095196229,0.42435153532354936,-0.020258056724832933,3.141313659672962,1.2400244741404194,0.0,1.8663071088553806e-11,1,18,1.0,15.0,10000,10000,1.0,OK,success,
0PN,Padé [3/1],3,1,Padé [3/1],3.0,4.381338133813381,11.492425325180525,0.979741943275167,0.40733233422876125,0.4243512485306507,-0.020258056724832926,3.141313659672962,1.2400244741404194,0.0,9.236833520276377e-12,1,17,1.0,15.0,10000,10000,1.0,OK,success,
