PN_order,n_configs,mean_a_max,median_a_max,std_a_max,mean_delta_a,median_delta_a,std_delta_a,min_delta_a,max_delta_a
0PN,22,4.031575884861213,3.9852985298529857,0.5207475643591037,0.7392136921855677,0.7464094567369501,0.4677934834774302,0.11501471700641286,1.5215619306116217
1PN,22,3.276604933220594,3.2630763076307625,0.4460623850645589,0.3457707786270785,0.4136463948971558,0.19617416097235152,0.000567726511623512,0.6099093934294899
2PN,22,3.1851230577603213,3.1746674667466745,0.3979950727790279,0.3134823885962078,0.403829715717801,0.19103932283718195,0.005401011794184285,0.5612529097562637
