q,chi1,chi2,theta1_deg,theta2_deg,dphi_deg,spin_geometry,a_merger_NR,a_max_0PN,delta_a_0PN,S_max_0PN,M_at_max_0PN,J_at_max_0PN,chi_at_max_0PN,flags_0PN,a_max_1PN,delta_a_1PN,S_max_1PN,M_at_max_1PN,J_at_max_1PN,chi_at_max_1PN,flags_1PN,a_max_2PN,delta_a_2PN,S_max_2PN,M_at_max_2PN,J_at_max_2PN,chi_at_max_2PN,flags_2PN
0.3,0.4,0.2,60.0,0.057295779513082325,,primary_tilted_secondary_aligned,3.1462114056058494,3.2612261226122623,0.11501471700641286,11.878435366552825,0.9727840409978661,0.06309661902450454,0.06667656441877834,OK,2.6031603160316035,0.543051089574246,12.220974869630778,0.9861656995671826,-0.005752644130280072,-0.005915176700392655,OK,2.5849584958495857,0.5612529097562637,12.132438569593523,0.9825909754152267,0.007919375921129086,0.00820248446773797,OK
0.3,0.2,0.2,0.057295779513082325,0.057295779513082325,,nearly_aligned,3.2387705386650842,3.424942494249425,0.18617195558434085,11.91014793140844,0.9740849965806058,0.06345574313487751,0.06687706824272643,OK,2.7267726772677268,0.5119978613973575,12.216617457655353,0.9859865344790513,-0.0027310552160896705,-0.002809237861607139,OK,2.7111711171117108,0.5275994215533735,12.13463973059823,0.9826852832665879,0.01010157339227192,0.010460684875990278,OK
0.3,0.2,0.2,179.94270422048692,179.94270422048692,,nearly_antialigned,3.4778380093823777,4.9993999399939995,1.5215619306116217,12.110116456859252,0.982246390063802,0.06557502935950908,0.0679669233097091,OK,4.072407240724072,0.5945692313416941,12.235831933205365,0.9867895592225,0.014908472114130605,0.015310312167947648,OK,3.87998799879988,0.40214998941750224,12.252493541975689,0.9874415794324003,0.008475042732652132,0.008691987145507563,OK
0.3,0.2,0.2,0.057295779513082325,179.94270422048692,,primary_aligned_secondary_antialigned,3.259401440359351,3.539353935393539,0.2799524950341876,11.93081244671976,0.9749227124300464,0.06315953452087675,0.06645054457447686,OK,2.834683468346835,0.42471797201251604,12.2142384058762,0.9858896633392031,-0.0009229106939284872,-0.0009495176714595654,OK,2.7839783978397836,0.4754230425195676,12.164642143627212,0.9838915364282823,0.006553419908925342,0.00676976427533571,OK
0.3,0.2,0.2,179.94270422048692,0.057295779513082325,,primary_antialigned_secondary_aligned,3.458086677817605,4.845984598459847,1.3878979206422417,12.096507086537269,0.9816843420266104,0.06492357046503301,0.0673687776912909,OK,3.9540954095409546,0.4960087317233497,12.232120959350729,0.9866353996938652,0.013692844097754777,0.01406631297934613,OK,3.7993799379937983,0.3412932601761933,12.239304708328348,0.9869131141575117,0.009784307971412325,0.010045516567223078,OK
0.3,0.2,0.2,45.0,135.0,,counter_tilted_opposite_azimuth,3.3802680585049427,3.6849684968496845,0.3047004383447418,11.955361600480488,0.9759136620772793,0.06260816697478466,0.06573674458013179,OK,2.9776977697769773,0.4025702887279654,12.212938952417119,0.985837587932712,0.0019195264855383265,0.001975073959784357,OK,2.9139913991399133,0.4662766593650294,12.177926326773333,0.984429336748871,0.006970185798372905,0.00719242364015904,OK
0.3,0.2,0.2,45.0,135.0,,counter_tilted_same_plane,3.3944435403766122,3.673267326732674,0.27882378635606164,11.953493851158148,0.9758369351983271,0.06256920189781473,0.06570616369337412,OK,2.96989698969897,0.424546550677642,12.212948283755543,0.985837898944134,0.0017837414426250754,0.001835358395926967,OK,2.9048904890489045,0.48955305132770777,12.17810716438025,0.9844357446159058,0.006458018854377457,0.006663839980070474,OK
0.3,0.2,0.2,90.0,90.0,,in_plane_oblique_135,3.1492596860535564,4.0763076307630755,0.927047944709519,12.012485413524983,0.9782260308864155,0.061927197408087435,0.06471470789604272,OK,3.3430343034303434,0.19377461737678692,12.21617071332409,0.9859748790229873,0.0075049487085311175,0.007719977391672073,OK,3.2455245524552456,0.09626486640168919,12.205862618319017,0.9855582026226775,0.007184542759179572,0.00739664167552645,OK
0.3,0.2,0.2,90.0,90.0,,in_plane_oblique_45,3.132481075698583,4.056805680568056,0.9243246048694731,12.00990487390969,0.9781213586653033,0.06193837260143422,0.06474024005463486,OK,3.330033003300329,0.19755192760174634,12.215937848920666,0.9859642440005754,0.006843392756858685,0.00703961867485603,OK,3.233823382338233,0.10134230663965038,12.205979273735645,0.9855633157598338,0.007396538438888072,0.0076148167861067595,OK
0.3,0.2,0.2,23.0,97.0,,random_like_1,3.2085766457760068,3.5263526352635264,0.3177759894875196,11.928606388785157,0.9748302550453606,0.06301174886018132,0.06630763440168741,OK,2.8268826882688263,0.3816939575071805,12.214364085921176,0.9858946434740805,-0.00038199643032451756,-0.00039300519435125914,OK,2.7852785278527854,0.42329811792322136,12.157370653465902,0.9835997075825583,0.007761656597486368,0.008022646238140307,OK
0.3,0.2,0.2,112.0,41.0,,random_like_2,3.395233865934531,4.296029602960296,0.9007957370257649,12.039723087424614,0.979339668332698,0.06238291985026045,0.0650427666537976,OK,3.5315531553155317,0.1363192893810008,12.22020313309117,0.9861413858541817,0.009243525461746584,0.009505156482286337,OK,3.4236423642364233,0.028408498301892404,12.215671143988562,0.9859573222988677,0.008734073524741004,0.008984638549623725,OK
0.3,0.2,0.2,76.0,156.0,,random_like_3,3.141313659672962,3.9631963196319635,0.8218826599590017,11.99720035213731,0.977604592533043,0.0619161138252843,0.06478541181606134,OK,3.242924292429242,0.10161063275628024,12.214570363047923,0.985907646880571,0.0060011180141123594,0.006173901512213753,OK,3.146714671467146,0.005401011794184285,12.203883963053897,0.9854770467589039,0.006471440708569042,0.006663585120971094,OK
0.3,0.2,0.2,0.057295779513082325,90.0,,one_aligned_one_in_plane,3.2404481905013633,3.482148214821482,0.2417000243201186,11.920550340093655,0.9745107356223602,0.06353709652967711,0.06690431201838865,OK,2.78007800780078,0.4603701827005833,12.215264938356373,0.9859314733664903,-0.0019441762491446994,-0.002000056075496026,OK,2.7462746274627463,0.49417356303861704,12.150220226321636,0.9833103155651713,0.007710586409633413,0.007974550599964658,OK
0.3,0.2,0.2,179.94270422048692,90.0,,one_antialigned_one_in_plane,3.4341745263787393,4.9200920092009195,1.4859174828221802,12.10323562644511,0.9819602161334132,0.06512759007112759,0.06754251416876911,OK,4.0126012601260115,0.5784267337472722,12.233936199095218,0.9867110746397256,0.014371086799507014,0.014760790187966943,OK,3.839683968396839,0.4055094420180998,12.246082612073968,0.9871854235990897,0.009421167842839044,0.009667346229044194,OK
0.3,0.2,0.2,90.0,0.057295779513082325,,one_in_plane_one_aligned,3.2511878174602216,4.007400740074008,0.7562129226137864,12.003193040778804,0.9778516294709111,0.062122126480051075,0.06496813290205039,OK,3.283228322832283,0.03204050537206138,12.215158302852409,0.9859323828016409,0.006614144775508414,0.006804237035487715,OK,3.202620262026203,0.04856755543401858,12.195872775583895,0.9851574141716561,0.008454366098786378,0.008711035624966446,OK
0.3,0.2,0.2,90.0,179.94270422048692,,one_in_plane_one_antialigned,3.391706840423015,4.128312831283129,0.7366059908601139,12.01919065631006,0.9785003220257131,0.06204095113803267,0.06479723905827717,OK,3.3911391139113913,0.000567726511623512,12.217081112024683,0.986012377247385,0.007883970388134457,0.008109241816537605,OK,3.2780278027802776,0.11367903764273724,12.215310913709736,0.9859384498879656,0.006560805390828175,0.006749281597129508,OK
0.3,0.2,0.2,160.0,80.0,,near_transitional_precession_candidate,3.3454861461244647,4.840784078407841,1.4952979322833766,12.096075426998567,0.9816646652666027,0.06479531393546312,0.06723838606307797,OK,3.9553955395539546,0.6099093934294899,12.232152644909007,0.9866367205462249,0.013704933653418135,0.014078694579036988,OK,3.791579157915791,0.44609301179132643,12.242718548792107,0.9870491322742876,0.009132651324401742,0.009373878820166048,OK
0.3,0.2,0.2,150.0,45.0,,primary_retrograde_secondary_tilted,3.3692064037862735,4.725072507250724,1.3558661034644506,12.085222502011192,0.9812156540849889,0.0642382293936273,0.06672131935110104,OK,3.8695869586958693,0.5003805549095959,12.22952246611891,0.9865277171585344,0.01285651178958883,0.013210053281466072,OK,3.722672267226722,0.3534658634404484,12.23618944605727,0.986787176894536,0.00965124708956983,0.009911432780680851,OK
0.3,0.2,0.2,45.0,150.0,,primary_tilted_secondary_retrograde,3.3887650287987543,3.688868886888688,0.3001038580899338,11.95593817741723,0.9759391295350233,0.06272585537905043,0.0658568767142923,OK,2.9828982898289826,0.40586673896977166,12.21292107969249,0.985837103841253,0.002345874667453586,0.0024137622240785195,OK,2.915291529152915,0.4734734996458392,12.179983151335867,0.9845114598909629,0.006396108481039523,0.006598941364840627,OK
0.3,0.2,0.2,30.0,120.0,,generic_asymmetric_precessing,3.297713679587416,3.578357835783578,0.2806441561961619,11.93761795289698,0.9751960534628108,0.06292087845465213,0.06616234768147256,OK,2.876287628762876,0.42142605082454,12.213654712066486,0.9858660009724635,0.0002119216298955685,0.0002180416733235102,OK,2.8242824282428245,0.4734312513445915,12.16606471255489,0.9839490691215081,0.006556972892422562,0.006772642472800738,OK
0.3,0.2,0.2,70.0,135.0,,strong_asymmetric_precessing,3.172017729983979,3.894289428942894,0.7222716989589153,11.987276536783803,0.9772083205243945,0.062353455029103014,0.06529594484695078,OK,3.1766176617661763,0.0045999317821974195,12.21377867967596,0.9858738674954834,0.0046897874420715364,0.004825145896262484,OK,3.090809080908091,0.08120864907588787,12.196979046923714,0.9851987038429867,0.006749253693000744,0.006953574135589058,OK
0.3,0.2,0.2,90.0,90.0,,in_plane_opposite,3.1593772719725166,4.081508150815081,0.9221308788425642,12.013009395281193,0.978253774543613,0.06231580677953276,0.06511711597479608,OK,3.3443344334433434,0.18495716147082675,12.216220092000835,0.9859756848293406,0.006871947154891072,0.007068827785329912,OK,3.2481248124812474,0.0887475405087308,12.205839039186568,0.9855573952159972,0.0072611545731947015,0.0074755274383384585,OK
