PN_order,method,degree,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
0PN,Taylor,2,1.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989491276118091e-08,0.29058691743491366,0.28890198257657423,-0.044714982343130476,0.12011469697085886,0.5794889999064007
0PN,Taylor,2,2.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989482961535445e-08,0.2677146208618059,0.2654870635383699,-0.040712594417425196,0.11158844552206126,0.5332017842950054
0PN,Taylor,2,3.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.98948927680455e-08,0.24666544230508336,0.24403097925420744,-0.03708594931927243,0.1036596096143132,0.4906965214541836
0PN,Taylor,2,4.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989490835367701e-08,0.22723616897293353,0.2243056832485127,-0.03378870178970104,0.09626618746051463,0.45154195211635456
0PN,Taylor,3,1.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989484023665752e-08,0.08216130863517793,0.0786533959003556,0.010976006184530412,0.0377423617936401,0.16081480443037377
0PN,Taylor,3,2.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989490371492506e-08,0.07599173792299656,0.07272637907838525,0.010071307947107408,0.03518692369133092,0.1487182168962855
0PN,Taylor,3,3.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989491271520419e-08,0.07029189211798799,0.06725219686914553,0.009243717201540982,0.032801589641549,0.13754418888204623
0PN,Taylor,3,4.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.98949047142901e-08,0.06502122558860175,0.06219164783597013,0.008485778494731366,0.030573654793482063,0.1272129733194766
0PN,Taylor,4,1.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989473835688676e-08,0.0239652936869315,0.02292951521892847,-0.002908277277926939,0.012438833500702628,0.04689490880059832
0PN,Taylor,4,2.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989445833940794e-08,0.022211366872578197,0.02123943068822644,-0.002677515376607648,0.01159254489749273,0.04345089745526298
0PN,Taylor,4,3.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989531206523017e-08,0.020587110413962183,0.019675588168870543,-0.0024655513022773237,0.010803790708463268,0.04026279847814479
0PN,Taylor,4,4.0,14.0,10.0,23.661234717926032,2279,1462,success,,2000,9.989480747874977e-08,0.01908243814517786,0.018228025250152848,-0.0022707500201487275,0.01006847946004541,0.03731056329013818
0PN,Taylor,2,1.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357833116290124e-08,0.2905221962338606,0.27894620995900377,-0.05349908079690677,0.15786856347721745,0.5694684897711955
0PN,Taylor,2,2.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357838883226391e-08,0.2741407904041506,0.262629225871064,-0.05000776529084301,0.14978353221955487,0.5367700998536035
0PN,Taylor,2,3.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.35784149094487e-08,0.2586925736633185,0.24730109178856358,-0.0467585150796752,0.14210900625280054,0.505993749030297
0PN,Taylor,2,4.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357843150049772e-08,0.24409240717934663,0.232867614823956,-0.043726887722313576,0.13480876013719367,0.47696010558173413
0PN,Taylor,3,1.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357835804257365e-08,0.0895396799789298,0.0819440524106964,0.01408415051728264,0.05351619909629335,0.17148381596798423
0PN,Taylor,3,2.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357850746615105e-08,0.08472474668014389,0.07752565916315922,0.013247725304737543,0.05093279205050649,0.16225048942181058
0PN,Taylor,3,3.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357840057735101e-08,0.08017213866206346,0.07334839645387724,0.012462871421634294,0.04847136198248592,0.15352061869434128
0PN,Taylor,3,4.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357850150754115e-08,0.07586501953773872,0.06939678427866856,0.011725843021888385,0.046125140138627785,0.1452618873949088
0PN,Taylor,4,1.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.357839484385014e-08,0.028481783168613082,0.026110374043700514,-0.004055875076789264,0.019359288048274692,0.05459224079070844
0PN,Taylor,4,2.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.35776872288865e-08,0.02698946099360081,0.024730166527979706,-0.0038242928482841716,0.018415196037580017,0.05171971109926775
0PN,Taylor,4,3.0,15.0,10.0,23.661234717926032,1980,1761,success,,2000,8.35789353548982e-08,0.02557609894523964,0.023423954981707,-0.0036063222816074994,0.017517152824915172,0.049000137505881995
