PN_order,method,degree,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
1PN,Taylor,3,1.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.004126245121519877,0.11222752040229504,0.11609077378560739,0.007288125182196182,0.018330080412106042,0.23244453930942233
1PN,Taylor,3,2.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.003555911497118663,0.09318497136996796,0.09634320094086049,0.0059672751216236,0.01549527936533579,0.19308408380794712
1PN,Taylor,3,3.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.003066172366714841,0.07741688377337025,0.07999907811921118,0.004890072420435762,0.013094719434183943,0.16048213425929628
1PN,Taylor,3,4.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,0.002644411870877863,0.06432267427372149,0.06643325269660427,0.0040089455626409224,0.01105860176568818,0.13340033884120361
1PN,Taylor,4,1.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,1.4214466692958516e-07,0.02715882257253841,0.028152219490090297,-0.001637245018147998,0.004983831593698085,0.05531118420729564
1PN,Taylor,4,2.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,1.4214473004717045e-07,0.022664967351352858,0.023478108029751418,-0.0013492241111540838,0.004215400474567588,0.04614321752583432
1PN,Taylor,4,3.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,1.4214464547770638e-07,0.01892211425252581,0.019588769573185647,-0.001112734511888142,0.0035653223828102654,0.03851102597035694
1PN,Taylor,4,4.0,12.0,10.0,25.564703732028196,3285,792,success,,2000,1.4214467229193674e-07,0.01580099903311825,0.01634826852893145,-0.0009182377206018044,0.0030150194358551374,0.03214940970672199
1PN,Taylor,2,1.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.06728315209551232,0.4408850267879105,0.4601620134626203,-0.04567002176097128,0.10777499247166311,0.9683301923460431
1PN,Taylor,2,2.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.06071204297886182,0.3831356880573359,0.3987453674410892,-0.039069098427427215,0.09507195557472592,0.8425930984772869
1PN,Taylor,2,3.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.054796687651005406,0.33301875678380094,0.3457168795730802,-0.03344858934861941,0.08384436915037341,0.7335323240078866
1PN,Taylor,2,4.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.049448947176349574,0.2893409580510676,0.299711137866219,-0.028640657651257475,0.07388568361167458,0.6385010430936362
1PN,Taylor,3,1.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.004229515492437591,0.11860215169633015,0.11846111925941405,0.010735956877394525,0.031861960179318416,0.2412927864481818
1PN,Taylor,3,2.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.0038117013621189167,0.10375701291842979,0.10360077794486763,0.009282084632355971,0.028244097535601753,0.21116949222541634
1PN,Taylor,3,3.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.003436069859812048,0.09079282981959785,0.09062594365182958,0.008029692796804846,0.02503091161743143,0.18485484333123947
1PN,Taylor,3,4.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,0.0030976969083233506,0.07944922839876245,0.07927563983625695,0.0069484094736718075,0.022173736534599087,0.16182256514334276
1PN,Taylor,4,1.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,1.0035034417313552e-07,0.033019770488890945,0.03309045247104094,-0.0027480231382235897,0.010019583361582818,0.06611032331027605
1PN,Taylor,4,2.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,1.0035040672966101e-07,0.02898972012538089,0.02903182912349228,-0.0023881186229180677,0.008880354032282156,0.0580216495992799
1PN,Taylor,4,3.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,1.003507945571314e-07,0.02545616906222651,0.025476760934213024,-0.0020763334450623664,0.007870503134418172,0.05093303034723409
1PN,Taylor,4,4.0,13.0,10.0,25.564703732028196,2937,1140,success,,2000,1.0035051534255005e-07,0.022355662832687806,0.022360248537559156,-0.0018059294920649309,0.0069749107787586695,0.044716011720762304
1PN,Taylor,2,1.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.06367836533400184,0.42757227427788647,0.4344780598772217,-0.05661385520433935,0.14985487287749777,0.9257286994891101
1PN,Taylor,2,2.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.059191088607646214,0.38576836855865115,0.3908628705181574,-0.05037777658174041,0.13658395580566207,0.8358223276844547
1PN,Taylor,2,3.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.055025739213114856,0.3480764454117975,0.3517425572332354,-0.04485572615273591,0.12447375265266558,0.7548447418581478
1PN,Taylor,2,4.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.051144970075404105,0.31396670954617345,0.31650926892154246,-0.03994529354667051,0.11338517172132256,0.6816209485431199
1PN,Taylor,3,1.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.004433341984754555,0.1279094262453108,0.12319761035942342,0.01452948679784117,0.048774120362729434,0.25554037858948875
1PN,Taylor,3,2.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.004115124874982502,0.1159648443465951,0.11167896276353385,0.013049499501099729,0.044663191150171144,0.23175893198511144
1PN,Taylor,3,3.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.003820247338641351,0.1051483673293407,0.10124742063223685,0.011724423913729368,0.040891681995281814,0.2102160353002189
1PN,Taylor,3,4.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,0.0035466310870531192,0.09534044113155682,0.09178815510158557,0.01053611311759761,0.03742856755538071,0.1906752273201955
1PN,Taylor,4,1.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,7.922590566409103e-08,0.03959730974047151,0.03835337087644138,-0.004113772412066078,0.017169544750951005,0.07795075984281855
1PN,Taylor,4,2.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,7.922627002672357e-08,0.03599265524532791,0.03483875711637999,-0.0037092518366697693,0.01571248440652262,0.07083149158797791
1PN,Taylor,4,3.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,7.922622490647545e-08,0.03271911345932943,0.031650176940257645,-0.0033454644426153123,0.014379017076915801,0.06436936962581198
1PN,Taylor,4,4.0,14.0,10.0,25.564703732028196,2615,1462,success,,2000,7.922575953682879e-08,0.029744844668918854,0.028755830682152487,-0.003018059513477292,0.013158214602890794,0.05850075457683088
1PN,Taylor,2,1.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.061633260909997906,0.42313065035733954,0.41853473584523343,-0.06752301078977195,0.19649535993632306,0.9032986471125708
1PN,Taylor,2,2.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.05848194981442646,0.3922205396101153,0.3868892029584567,-0.061866472681568745,0.183383071122579,0.8375916923829985
1PN,Taylor,2,3.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.05549411229138133,0.36357620582627287,0.35770976467832416,-0.05670820998245709,0.17113974666635734,0.7767800827959783
1PN,Taylor,2,4.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.052652814331755796,0.3369521756042288,0.33071529935913113,-0.0519879410873082,0.1596743490423762,0.7203202892951157
1PN,Taylor,3,1.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.004655141967474254,0.13782824424406645,0.12785854582716127,0.01856119046101869,0.06881421801883825,0.27034193203870194
1PN,Taylor,3,2.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.004411216724090349,0.1282155548547774,0.11894445056990655,0.017141264955235817,0.06450610126363543,0.25157122214877425
1PN,Taylor,3,3.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.004180351741058277,0.11928045411581084,0.11065627779840423,0.01583333439361786,0.06046058823614864,0.23411708365527334
1PN,Taylor,3,4.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,0.003961647486632145,0.11096762883641227,0.102943320488923,0.014627196995120315,0.05665930411668718,0.2178725968119674
1PN,Taylor,4,1.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,6.685574658698827e-08,0.04646838882809152,0.04349110305880909,-0.0057074971435617135,0.026589558927831547,0.08995955874264719
1PN,Taylor,4,2.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,6.685632727680016e-08,0.0433099981470487,0.040509719643731845,-0.0052862274923574665,0.024902139169386217,0.08381978464710782
1PN,Taylor,4,3.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,6.685518926044271e-08,0.0403681548562587,0.03773544583398897,-0.004896885936757591,0.02332190782909116,0.07810366754543693
1PN,Taylor,4,4.0,15.0,10.0,25.564703732028196,2316,1761,success,,2000,6.685548191259906e-08,0.03762713154312553,0.03515294894407118,-0.004536868862649749,0.021841646170335238,0.07278014734267862
