PN_order,method,pade_order,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
0PN,Padé,2/1,1.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,0.0013198605477141596,0.00011904832524266161,0.00035409630846781046,1.0504262929231345e-05,1.7917820070323387e-05,0.0017930051814246317
0PN,Padé,2/1,2.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,0.0010162433895137242,9.29093163050204e-05,0.00027405418441670036,8.030664138519051e-06,1.4340593896378095e-05,0.001383206890235445
0PN,Padé,2/1,3.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,0.0016550597106662255,7.076830259153492e-05,0.00035392781876784733,1.0258834645777704e-05,1.9019638591188937e-05,0.0020797558320256077
0PN,Padé,2/1,4.0,11.0,10.0,29.75413675266349,4322,414,success,,2000,0.0012438598362076094,5.5348259800746914e-05,0.000268502878170535,7.675631036978104e-06,1.4882466665255834e-05,0.0015677109741788911
0PN,Padé,2/1,1.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,0.0009871199758247483,8.990655434758169e-05,0.00024307209055525881,1.3790921791502874e-05,3.0285506834815124e-05,0.001320098620727589
0PN,Padé,2/1,2.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,0.0018101106697583106,7.533222539504913e-05,0.0003471678772207673,1.9482202567197683e-05,4.405665595719199e-05,0.0022326107723741272
0PN,Padé,2/1,3.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,0.0014832083482235658,6.429452022411676e-05,0.0002873282336320312,1.5878587593684656e-05,3.735322510500794e-05,0.0018348311020797137
0PN,Padé,2/1,4.0,12.0,10.0,29.75413675266349,3944,792,success,,2000,0.001215658779925409,5.3897426798118605e-05,0.00023680366208343674,1.2873535754194698e-05,3.153730839500213e-05,0.0015063598688069644
0PN,Padé,2/1,1.0,13.0,10.0,29.75413675266349,3596,1140,success,,2000,0.0020228699390270936,8.040912334229495e-05,0.0003489799779281268,2.890793711448314e-05,7.402820108204367e-05,0.002452259040297515
0PN,Padé,2/1,2.0,13.0,10.0,29.75413675266349,3596,1140,success,,2000,0.0017473550450073667,7.078735305759378e-05,0.00030282840607043243,2.468605363104981e-05,6.557779069638059e-05,0.0021209708041353926
