PN_order,method,degree,sigma_power,holdout_cut,a_known_min,a_known_max,n_train,n_hidden,status,error,n_eval,nrmse_Ebind,nrmse_chi,nrmse_S,bias_S,max_abs_residual_S,stability_score
2PN,Taylor,2,1.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.09561170136770161,0.6595504736139087,0.727392374398949,-0.024470530216904072,0.039685520162704435,1.4825545493805592
2PN,Taylor,2,2.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.07638395466459873,0.4978429731284266,0.5481654589838943,-0.018246397677928402,0.03089686562398164,1.1223923867769197
2PN,Taylor,2,3.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.06106892890437357,0.3759371522687237,0.413447508221053,-0.013605528883425191,0.0240382324167836,0.8504535893941503
2PN,Taylor,2,4.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.048840623494031045,0.28383409197532855,0.3118977215690536,-0.010140226825960762,0.01867669934731353,0.6445724370384132
2PN,Taylor,3,1.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.003900020604325484,0.12562596939700607,0.1349418339058722,0.004328747686492743,0.008412087843701954,0.26446782390720375
2PN,Taylor,3,2.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.0031107517870085496,0.09597065017737906,0.10303494166467328,0.003263133542481553,0.006592219010817857,0.2021163436290609
2PN,Taylor,3,3.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.0024842620525640964,0.07340457735264647,0.07876631545143856,0.0024623036325165117,0.005164707700361149,0.1546551548566491
2PN,Taylor,3,4.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,0.0019850233527106257,0.05616672400988835,0.060237211765597085,0.0018585732809208242,0.004042549803308759,0.11838895912819605
2PN,Taylor,4,1.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,4.07523096818721e-05,0.024526252108403205,0.026386949328805354,-0.0008012400824973041,0.001837397479638625,0.050953953746890435
2PN,Taylor,4,2.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,3.307308709557065e-05,0.018875635071771604,0.020296292848037755,-0.0006082884082753903,0.001442548673791677,0.03920500100690493
2PN,Taylor,4,3.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,2.6871301377482494e-05,0.014540838797828044,0.015627289427046345,-0.00046233426221365905,0.0011325765653236175,0.030194999526251872
2PN,Taylor,4,4.0,11.0,10.0,25.4179495899763,3638,414,success,,2000,2.1852192188388214e-05,0.011208467183617255,0.01204032806315621,-0.0003516966493623004,0.0008890105761203415,0.02327064743896185
2PN,Taylor,2,1.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.07082396615770946,0.49683734815585995,0.534113749014332,-0.03494537245270526,0.07120357196737714,1.1017750633279013
2PN,Taylor,2,2.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.06111906166970253,0.409505749928236,0.4391414502533114,-0.028340975517561998,0.05997869511564602,0.90976626185125
2PN,Taylor,2,3.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.05277490063516621,0.3376881674756494,0.361379697531372,-0.023003966806887283,0.050500279018226735,0.7518427656421875
2PN,Taylor,2,4.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.04556903973074895,0.2783733033719337,0.29739465556917805,-0.018672964763117725,0.04247138516852367,0.6213369986718607
2PN,Taylor,3,1.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.003552248912958421,0.1164999291791501,0.1210521110018902,0.007336787548393129,0.018526682421498464,0.24110428909399872
2PN,Taylor,3,2.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.003060303779429796,0.09693746140070217,0.10067994483073597,0.006020867016456109,0.015692119000481952,0.20067771001086793
2PN,Taylor,3,3.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.0026379478492536963,0.08070464646355455,0.08378208473574125,0.0049452435980690025,0.01328717920199729,0.1671246790485495
2PN,Taylor,3,4.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,0.002274303469559316,0.06719672257619025,0.06972678038521227,0.004063448913942864,0.011243509095070436,0.13919780643096183
2PN,Taylor,4,1.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,4.3524763267332935e-05,0.028058765528585744,0.029205791907084222,-0.001639628700890281,0.005010237922645544,0.0573080821989373
2PN,Taylor,4,2.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,3.7958463950830775e-05,0.023464140458943954,0.02440751613763483,-0.0013541513595011195,0.004245849048706063,0.04790961506052961
2PN,Taylor,4,3.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,3.3116944490810505e-05,0.019629465031165447,0.020406467946567322,-0.0011192321678815719,0.003597957535227181,0.040069049922223585
2PN,Taylor,4,4.0,12.0,10.0,25.4179495899763,3260,792,success,,2000,2.8900907274984522e-05,0.0164252610610111,0.017065979211031812,-0.0009256057913844868,0.003048467405408317,0.0335201411793179
2PN,Taylor,2,1.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.06352769485326444,0.4542403352320686,0.47551710711360934,-0.04578128254331743,0.10850350601311476,0.9932851371989424
2PN,Taylor,2,2.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.057363207213462115,0.39539507317996087,0.4127586631758299,-0.03923618692917954,0.09585307384728203,0.8655169435692529
2PN,Taylor,2,3.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.05180999602620293,0.34424217679484315,0.35847505351892317,-0.03365279154634927,0.08465583562725776,0.7545272263399693
2PN,Taylor,2,4.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.04678618811799365,0.2995880664977604,0.31129806325866766,-0.028867796630540312,0.07470971934314186,0.6576723178744217
2PN,Taylor,3,1.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.0036632872802608287,0.12256896203833426,0.12296571874046446,0.01080652405272441,0.032222974254082715,0.24919796805905953
2PN,Taylor,3,2.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.0033009900885254168,0.107420377862698,0.10773962182334461,0.009361594495939497,0.028611295873623988,0.21846098977456802
2PN,Taylor,3,3.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.002975272704147848,0.0941674213969713,0.0944207539315344,0.00811443496916252,0.025398456531343427,0.19156344803265357
2PN,Taylor,3,4.0,13.0,10.0,25.4179495899763,2912,1140,success,,2000,0.002681880373692257,0.08255080448654223,0.08274837877565433,0.0070355819747335985,0.022537079729680443,0.16798106363588883
